Key,Source,Note,ko,en,zh-TW,ja
MLUA_ACHIEVEMENTLOGIC_001,초보 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:47,초보 사냥꾼,Novice Hunter,,
MLUA_ACHIEVEMENTLOGIC_002,"몬스터 1,000마리 처치",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:47,"몬스터 1,000마리 처치","Defeat 1,000 monsters",,
MLUA_ACHIEVEMENTLOGIC_003,숙련된 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:48,숙련된 사냥꾼,Skilled Hunter,,
MLUA_ACHIEVEMENTLOGIC_004,"몬스터 10,000마리 처치",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:48,"몬스터 10,000마리 처치","Defeat 10,000 monsters",,
MLUA_ACHIEVEMENTLOGIC_005,전설의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:49,전설의 사냥꾼,Legendary Hunter,,
MLUA_ACHIEVEMENTLOGIC_006,"몬스터 100,000마리 처치",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:49,"몬스터 100,000마리 처치","Defeat 100,000 monsters",,
MLUA_ACHIEVEMENTLOGIC_007,엘리트 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:50,엘리트 사냥꾼,Elite Hunter,,
MLUA_ACHIEVEMENTLOGIC_008,엘리트 몬스터 10마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:50,엘리트 몬스터 10마리 처치,Defeat 10 elite monsters,,
MLUA_ACHIEVEMENTLOGIC_009,엘리트 학살자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:51,엘리트 학살자,Elite Slayer,,
MLUA_ACHIEVEMENTLOGIC_010,엘리트 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:51,엘리트 몬스터 100마리 처치,Defeat 100 elite monsters,,
MLUA_ACHIEVEMENTLOGIC_011,첫 보스 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:52,첫 보스 처치,First Boss Kill,,
MLUA_ACHIEVEMENTLOGIC_012,보스 몬스터 1회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:52,보스 몬스터 1회 처치,,,
MLUA_ACHIEVEMENTLOGIC_013,보스 헌터,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:53,보스 헌터,,,
MLUA_ACHIEVEMENTLOGIC_014,보스 몬스터 10회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:53,보스 몬스터 10회 처치,,,
MLUA_ACHIEVEMENTLOGIC_015,보스 슬레이어,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:54,보스 슬레이어,,,
MLUA_ACHIEVEMENTLOGIC_016,보스 몬스터 50회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:54,보스 몬스터 50회 처치,,,
MLUA_ACHIEVEMENTLOGIC_017,하늘의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:55,하늘의 사냥꾼,,,
MLUA_ACHIEVEMENTLOGIC_018,비행 몬스터 300마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:55,비행 몬스터 300마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_019,달팽이 박사,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:57,달팽이 박사,,,
MLUA_ACHIEVEMENTLOGIC_020,달팽이류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:57,달팽이류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_021,버섯 채집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:58,버섯 채집가,,,
MLUA_ACHIEVEMENTLOGIC_022,버섯류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:58,버섯류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_023,돼지 몰이꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:59,돼지 몰이꾼,,,
MLUA_ACHIEVEMENTLOGIC_024,돼지·멧돼지류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:59,돼지·멧돼지류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_025,말랑말랑,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:60,말랑말랑,,,
MLUA_ACHIEVEMENTLOGIC_026,슬라임류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:60,슬라임류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_027,벌목꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:61,벌목꾼,,,
MLUA_ACHIEVEMENTLOGIC_028,스텀프류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:61,스텀프류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_029,픽시 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:62,픽시 사냥꾼,,,
MLUA_ACHIEVEMENTLOGIC_030,픽시류 몬스터 200마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:62,픽시류 몬스터 200마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_031,식물학자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:63,식물학자,,,
MLUA_ACHIEVEMENTLOGIC_032,네펜데스류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:63,네펜데스류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_033,돌깨는 자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:64,돌깨는 자,,,
MLUA_ACHIEVEMENTLOGIC_034,골렘류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:64,골렘류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_035,설원의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:65,설원의 사냥꾼,,,
MLUA_ACHIEVEMENTLOGIC_036,예티류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:65,예티류 몬스터 100마리 처치,,,
MLUA_ACHIEVEMENTLOGIC_037,숨은 비밀 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:67,숨은 비밀 발견,,,
