FMT_ACHIEVEMENTUI_001	업적 {0} / {1}
FMT_ATTENDANCELOGIC_001	{0}개
FMT_CARDMANAGER_001	{0} (+{1}강화)
FMT_CARDMANAGER_002	콜드 빔 Lv.{0}
FMT_CARDMANAGER_003	썬더 볼트 Lv.{0}
FMT_CARDMANAGER_004	매직 부스터 Lv.{0}
FMT_CARDMANAGER_005	매직 크리티컬 Lv.{0}
FMT_CARDMANAGER_006	대미지 : {0}
FMT_CARDMANAGER_007	쿨타임 -{0}%  (영구)
FMT_CARDMANAGER_008	크리티컬 {0}%  (영구)
FMT_CARDMANAGER_009	아이스 보너스 : +{0}%/스택
FMT_CARDMANAGER_010	피해 감소 : -{0}%  (영구)
FMT_CARDMANAGER_011	대미지 증가 : +{0}%  (영구)
FMT_CARDMANAGER_012	대미지 : {0}  (타격당)
FMT_CARDMANAGER_013	크리티컬 대미지 +{0}%  (영구)
FMT_CARDMANAGER_014	추가 공격 확률 {0}%  (영구)
FMT_CARDMANAGER_015	스택 확률 : {0}%  (영구)
FMT_CARDMANAGER_016	강화 코마 대미지 {0}%  (영구)
FMT_CARDMANAGER_017	{0}초마다 체력 {1}% 회복  (영구)
FMT_CARDMANAGER_018	피해량 증가 : +{0}%  (영구)
FMT_CARDMANAGER_019	공격 회피 {0}%  (영구)
FMT_CARDMANAGER_020	추가 공격 {0}% (대미지 {1}%)  (영구)
FMT_CARDMANAGER_021	대미지 : {0}  (초당)  |  추가 대미지 : {1}
FMT_CARDMANAGER_022	대미지 : {0}  (메소 1개당)
FMT_CARDMANAGER_023	스킬 복사 {0}%  |  기본공격 복사 {1}%
FMT_CARDMANAGER_024	대미지 : {0}  (초당 틱)
FMT_CARDMANAGER_025	대미지 : {0}  (초당)
FMT_CARDMANAGER_026	쿨타임 : {0}s
FMT_CARDMANAGER_027	타겟 : {0}명
FMT_CARDMANAGER_028	타겟 : {0}명  |  슬로우 3s
FMT_CARDMANAGER_029	타겟 {0}명  |  스턴 {1}% {2}초(보스/엘리트 {3}초)
FMT_CARDMANAGER_030	타겟 {0}명
FMT_CARDMANAGER_031	{0}치명타 20%
FMT_CARDMANAGER_032	{0}광역
FMT_CARDMANAGER_033	타겟 {0}명  |  범위 광역
FMT_CARDMANAGER_034	{0}  |  출혈 {1}%/틱 (3초)
FMT_CARDMANAGER_035	{0}  |  25% 확률 2연타(2타 50%)
FMT_CARDMANAGER_036	광역  |  {0}타
FMT_CARDMANAGER_037	{0}  |  넉백
FMT_CARDMANAGER_038	타겟 {0}명  |  속박 {1}초
FMT_CARDMANAGER_039	타겟 {0}명  |  빙결 스택+1
FMT_CARDMANAGER_040	타겟 {0}명  |  3연타  |  스턴 {1}% {2}초
FMT_CARDMANAGER_041	타겟 {0}명  |  슬로우, 빙결 스택2
FMT_CARDMANAGER_042	연쇄 {0}명  |  치명타+20%  |  마지막 착탄 +{1}%
FMT_CARDMANAGER_043	고정 광역  |  {0}% 확률 2연타(2타 50%)
FMT_CARDMANAGER_044	타겟 {0}명  |  빙결 스택+1  |  추가타 대미지 {1}%
FMT_CARDMANAGER_045	타겟 {0}명  |  속박 3초  |  추가타 대미지 {1}%
FMT_CARDMANAGER_046	화살 {0}발
FMT_CARDMANAGER_047	{0}  |  강화 화살 {1}% ({2}% 대미지)
FMT_CARDMANAGER_048	착탄 {0}개  |  광역  |  슬로우 {1}% {2}초
FMT_CARDMANAGER_049	착탄 {0}개  |  광역  |  슬로우 대상 +{1}% 대미지
FMT_CARDMANAGER_050	유지 {0}초  |  광역  |  슬로우 대상 +{1}% 대미지
FMT_CARDMANAGER_051	화살 {0}발  |  관통 {1}회
FMT_CARDMANAGER_052	착탄 {0}개  |  광역
FMT_CARDMANAGER_053	화살 {0}발  |  관통 {1}회  |  크리티컬 +{2}%
FMT_CARDMANAGER_054	착탄 {0}개  |  광역  |  크리티컬 +{1}%
FMT_CARDMANAGER_055	타겟 2명  |  넉백  |  타격 유닛 {0}%  |  광역 {1}% 대미지
FMT_CARDMANAGER_056	타겟 {0}명  |  넉백  |  충돌 대상 {1}% 대미지
FMT_CARDMANAGER_057	착탄 {0}개  |  광역  |  슬로우, 스턴 {1}초  |  슬로우 대상 {2}% 대미지
FMT_CARDMANAGER_058	유지 {0}초  |  광역  |  크리티컬 {1}%  |  슬로우 대상 {2}% 대미지
FMT_CARDMANAGER_059	최대 {0}명 연사  |  추가 타격 {1}% ({2}% 대미지)
FMT_CARDMANAGER_060	연사 {0}발  |  강화 확률(화살마다) {1}%  |  강화 시 {2}연타({3}초 간격)
FMT_CARDMANAGER_061	추가 공격 대미지 {0}%
FMT_CARDMANAGER_062	타겟 {0}명  |  콤보스택 +1
FMT_CARDMANAGER_063	타겟 {0}명  |  광역  |  콤보스택 +1
FMT_CARDMANAGER_064	타겟 {0}명  |  넉백  |  타격 유닛 {1}% 대미지
FMT_CARDMANAGER_065	타겟 {0}명  |  2연타(70%/50%)  |  {1}% 확률 4연타(60/50/40/30%)
FMT_CARDMANAGER_066	타겟 {0}명  |  속박{1}초  |  콤보스택 +1
FMT_CARDMANAGER_067	지속 {0}초  |  2연타(50%/50%)  |  광역
FMT_CARDMANAGER_068	타겟 {0}명  |  콤보스택 +2  |  스턴 {1}초
