FMT_SKILLUPGRADEUI_001	다음 레벨: Lv.{0}⏎{1}
FMT_UICOMPOSEPOPUP_001	{0}⏎(최고 등급)
FMT_UICOMPOSEPOPUP_002	품질 {0} 유지
FMT_UICOMPOSEPOPUP_003	품질 {0} 승급
FMT_WORLDCHARACTERSELECTUI_001	공격력 {0}%⏎체력 {1}%
FMT_WORLDCHARACTERSELECTUI_002	{0}⏎⏎장비⏎({1} / {2})
FMT_WORLDCHARACTERSELECTUI_003	{0}⏎⏎몬스터 처치⏎({1} / {2})
MLUA_ACHIEVEMENTLOGIC_001	초보 사냥꾼
MLUA_ACHIEVEMENTLOGIC_002	몬스터 1,000마리 처치
MLUA_ACHIEVEMENTLOGIC_003	숙련된 사냥꾼
MLUA_ACHIEVEMENTLOGIC_004	몬스터 10,000마리 처치
MLUA_ACHIEVEMENTLOGIC_005	전설의 사냥꾼
MLUA_ACHIEVEMENTLOGIC_006	몬스터 100,000마리 처치
MLUA_ACHIEVEMENTLOGIC_007	엘리트 사냥꾼
MLUA_ACHIEVEMENTLOGIC_008	엘리트 몬스터 10마리 처치
MLUA_ACHIEVEMENTLOGIC_009	엘리트 학살자
MLUA_ACHIEVEMENTLOGIC_010	엘리트 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_011	첫 보스 처치
MLUA_ACHIEVEMENTLOGIC_012	보스 몬스터 1회 처치
MLUA_ACHIEVEMENTLOGIC_013	보스 헌터
MLUA_ACHIEVEMENTLOGIC_014	보스 몬스터 10회 처치
MLUA_ACHIEVEMENTLOGIC_015	보스 슬레이어
MLUA_ACHIEVEMENTLOGIC_016	보스 몬스터 50회 처치
MLUA_ACHIEVEMENTLOGIC_017	하늘의 사냥꾼
MLUA_ACHIEVEMENTLOGIC_018	비행 몬스터 300마리 처치
MLUA_ACHIEVEMENTLOGIC_019	달팽이 박사
MLUA_ACHIEVEMENTLOGIC_020	달팽이류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_021	버섯 채집가
MLUA_ACHIEVEMENTLOGIC_022	버섯류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_023	돼지 몰이꾼
MLUA_ACHIEVEMENTLOGIC_024	돼지·멧돼지류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_025	말랑말랑
MLUA_ACHIEVEMENTLOGIC_026	슬라임류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_027	벌목꾼
MLUA_ACHIEVEMENTLOGIC_028	스텀프류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_029	픽시 사냥꾼
MLUA_ACHIEVEMENTLOGIC_030	픽시류 몬스터 200마리 처치
MLUA_ACHIEVEMENTLOGIC_031	식물학자
MLUA_ACHIEVEMENTLOGIC_032	네펜데스류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_033	돌깨는 자
MLUA_ACHIEVEMENTLOGIC_034	골렘류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_035	설원의 사냥꾼
MLUA_ACHIEVEMENTLOGIC_036	예티류 몬스터 100마리 처치
MLUA_ACHIEVEMENTLOGIC_037	숨은 비밀 발견
MLUA_ACHIEVEMENTLOGIC_038	이스터에그 1개 발견
MLUA_ACHIEVEMENTLOGIC_039	탐험가
MLUA_ACHIEVEMENTLOGIC_040	이스터에그 10개 발견
MLUA_ACHIEVEMENTLOGIC_041	비밀 수집가
MLUA_ACHIEVEMENTLOGIC_042	이스터에그 50개 발견
MLUA_ACHIEVEMENTLOGIC_043	보물 사냥꾼
MLUA_ACHIEVEMENTLOGIC_044	보물상자 10개 열기
MLUA_ACHIEVEMENTLOGIC_045	물약 애호가
MLUA_ACHIEVEMENTLOGIC_046	빨간·하얀 포션 50개 획득
MLUA_ACHIEVEMENTLOGIC_047	엘릭서 수집가
MLUA_ACHIEVEMENTLOGIC_048	파워 엘릭서 10개 획득
MLUA_ACHIEVEMENTLOGIC_049	버프 마니아
MLUA_ACHIEVEMENTLOGIC_050	버프 포션 10개 획득
MLUA_ACHIEVEMENTLOGIC_051	포션 소믈리에
MLUA_ACHIEVEMENTLOGIC_052	버프 포션 3종 모두 획득
MLUA_ACHIEVEMENTLOGIC_053	모험의 시작
MLUA_ACHIEVEMENTLOGIC_054	게임 10판 플레이
MLUA_ACHIEVEMENTLOGIC_055	베테랑 모험가
MLUA_ACHIEVEMENTLOGIC_056	게임 100판 플레이
MLUA_ACHIEVEMENTLOGIC_057	성장하는 모험가
MLUA_ACHIEVEMENTLOGIC_058	한 판에서 레벨 20 달성
MLUA_ACHIEVEMENTLOGIC_059	한계 돌파
MLUA_ACHIEVEMENTLOGIC_060	한 판에서 레벨 50 달성
MLUA_ACHIEVEMENTLOGIC_061	태초의 마을 수호자
MLUA_ACHIEVEMENTLOGIC_062	태초의 마을에서 15분 생존
MLUA_ACHIEVEMENTLOGIC_063	구름정원 수호자
