MLUA_ACHIEVEMENTLOGIC_064	구름정원에서 15분 생존
MLUA_ACHIEVEMENTLOGIC_065	엘나스 수호자
MLUA_ACHIEVEMENTLOGIC_066	엘나스에서 15분 생존
MLUA_ACHIEVEMENTLOGIC_067	절제된 강함
MLUA_ACHIEVEMENTLOGIC_068	스킬 5개 이하로 15분 생존
MLUA_ACHIEVEMENTLOGIC_069	미니멀리스트
MLUA_ACHIEVEMENTLOGIC_070	스킬 3개 이하로 10분 생존
MLUA_ACHIEVEMENTLOGIC_071	불굴의 의지
MLUA_ACHIEVEMENTLOGIC_072	이어하기 없이 15분 생존
MLUA_ACHIEVEMENTLOGIC_073	알뜰한 모험가
MLUA_ACHIEVEMENTLOGIC_074	게임 중 골드 누적 10,000 획득
MLUA_ACHIEVEMENTLOGIC_075	메소 부자
MLUA_ACHIEVEMENTLOGIC_076	게임 중 골드 누적 100,000 획득
MLUA_ACHIEVEMENTLOGIC_077	스킬 마스터
MLUA_ACHIEVEMENTLOGIC_078	스킬 1개를 Lv5로 강화
MLUA_ACHIEVEMENTLOGIC_079	스킬 전문가
MLUA_ACHIEVEMENTLOGIC_080	스킬 Lv5 달성 10회
MLUA_ACHIEVEMENTLOGIC_081	스킬의 달인
MLUA_ACHIEVEMENTLOGIC_082	스킬 Lv5 달성 50회
MLUA_ACHIEVEMENTLOGIC_083	첫 조합
MLUA_ACHIEVEMENTLOGIC_084	조합 스킬 1종 발견
MLUA_ACHIEVEMENTLOGIC_085	조합 연구가
MLUA_ACHIEVEMENTLOGIC_086	조합 스킬 10종 발견
MLUA_ACHIEVEMENTLOGIC_087	조합의 대가
MLUA_ACHIEVEMENTLOGIC_088	조합 스킬 20종 발견
MLUA_ACHIEVEMENTLOGIC_089	대장장이 견습생
MLUA_ACHIEVEMENTLOGIC_090	장비 강화 10회 성공
MLUA_ACHIEVEMENTLOGIC_091	명장
MLUA_ACHIEVEMENTLOGIC_092	장비 강화 100회 성공
MLUA_ACHIEVEMENTLOGIC_093	합성의 달인
MLUA_ACHIEVEMENTLOGIC_094	장비 합성 5회 성공
MLUA_ACHIEVEMENTLOGIC_095	장비 수집가
MLUA_ACHIEVEMENTLOGIC_096	장비 50개 획득
MLUA_ACHIEVEMENTLOGIC_097	상인
MLUA_ACHIEVEMENTLOGIC_098	장비 100개 판매
MLUA_ACHIEVEMENTLOGIC_099	업적 사냥꾼
MLUA_ACHIEVEMENTLOGIC_100	업적 30개 달성
MLUA_ACHIEVEMENTUI_002	달성!
MLUA_ACHIEVEMENTUI_003	받을 수 있는 업적 보상이 없어요
MLUA_ATTENDANCEUI_001	완료
MLUA_ATTENDANCEUI_002	내일 다시 받을 수 있어요
MLUA_BUFFPOTIONLOGIC_001	흡혈 포션! 때릴 때마다 체력을 회복
MLUA_BUFFPOTIONLOGIC_002	크리티컬 포션! 크리티컬 확률 100%
MLUA_BUFFPOTIONLOGIC_003	파워 포션! 공격력 50% 증가
MLUA_CARDMANAGER_001	기본 공격
MLUA_CARDMANAGER_002	매직 클로
MLUA_CARDMANAGER_003	콜드 빔
MLUA_CARDMANAGER_004	썬더 볼트
MLUA_CARDMANAGER_005	메테오
MLUA_CARDMANAGER_006	매직 부스터
MLUA_CARDMANAGER_007	매직 크리티컬
MLUA_CARDMANAGER_008	에너지볼트
MLUA_CARDMANAGER_009	프리징 이펙트
MLUA_CARDMANAGER_010	매직 아머
MLUA_CARDMANAGER_011	메디테이션
MLUA_CARDMANAGER_012	헤일 버스트
MLUA_CARDMANAGER_013	아이스 커터
MLUA_CARDMANAGER_014	페페
MLUA_CARDMANAGER_015	썬더 커터
MLUA_CARDMANAGER_016	더블 커터
MLUA_CARDMANAGER_017	킹페페
MLUA_CARDMANAGER_018	아쿠아 트랩
MLUA_CARDMANAGER_019	슈리켄 버스트
MLUA_CARDMANAGER_020	슈리켄 봄버
MLUA_CARDMANAGER_021	윈드 탈리스만
MLUA_CARDMANAGER_022	스톰 탈리스만
MLUA_CARDMANAGER_023	쉐도우 스플릿
MLUA_CARDMANAGER_024	팬텀 스플릿
MLUA_CARDMANAGER_025	스로잉 윙대거
MLUA_CARDMANAGER_026	스로잉 붐대거
