MLUA_CARDMANAGER_027	쇼다운 챌린지
MLUA_CARDMANAGER_029	쇼다운 임팩트
MLUA_CARDMANAGER_031	스핀 스로우
MLUA_CARDMANAGER_032	블러드 스로우
MLUA_CARDMANAGER_033	쉐도우 트랩
MLUA_CARDMANAGER_034	데스 트랩
MLUA_CARDMANAGER_035	럭키 세븐
MLUA_CARDMANAGER_036	슈퍼 세븐
MLUA_CARDMANAGER_037	무스펠하임
MLUA_CARDMANAGER_038	스카링 소드
MLUA_CARDMANAGER_039	바람의 시
MLUA_CARDMANAGER_040	폭풍의 시
MLUA_CARDMANAGER_041	애로우 블로우
MLUA_CARDMANAGER_042	강화 애로우 블로우
MLUA_CARDMANAGER_043	아이스 퀴버
MLUA_CARDMANAGER_044	파이어 퀴버
MLUA_CARDMANAGER_045	애로우 일루전
MLUA_CARDMANAGER_046	피닉스
MLUA_CARDMANAGER_047	이볼브
MLUA_CARDMANAGER_048	리트리트 샷
MLUA_CARDMANAGER_049	에로우 플레터
MLUA_CARDMANAGER_050	언카운터 에로우
MLUA_CARDMANAGER_051	언카운트에로우V
MLUA_CARDMANAGER_052	플레시 미라주
MLUA_CARDMANAGER_053	플레시 봄버
MLUA_CARDMANAGER_054	보우 액셀레이션
MLUA_CARDMANAGER_055	꿰뚫는 의지
MLUA_CARDMANAGER_056	크리티컬 샷
MLUA_CARDMANAGER_057	파이널 어택 : 활
MLUA_CARDMANAGER_058	연속 사격
MLUA_CARDMANAGER_059	아쿠아 서지
MLUA_CARDMANAGER_060	헤일 스톤
MLUA_CARDMANAGER_061	썬더스톰
MLUA_CARDMANAGER_062	아이스 스트라이크
MLUA_CARDMANAGER_063	체인 라이트닝
MLUA_CARDMANAGER_064	다이아가 부족합니다
MLUA_CARDMANAGER_065	해금! (대미지 110, 타겟 2명, 슬로우 3초)
MLUA_CARDMANAGER_066	피해량 +50
MLUA_CARDMANAGER_067	공격 대상 +1
MLUA_CARDMANAGER_068	해금! (대미지 90, 타겟 2명)
MLUA_CARDMANAGER_069	스턴 효과 신규 획득 (확률 25%, 지속 2초)
MLUA_CARDMANAGER_070	피해량 +40
MLUA_CARDMANAGER_071	공격 대상 +1, 스턴 +1초
MLUA_CARDMANAGER_072	피해량 +40, 스턴 확률 +5%
MLUA_CARDMANAGER_073	해금! (모든 스킬 쿨타임 -5%, 영구)
MLUA_CARDMANAGER_074	쿨타임 감소량 +2%
MLUA_CARDMANAGER_075	쿨타임 감소량 +3%
MLUA_CARDMANAGER_076	해금! (크리티컬 확률 10%, 영구)
MLUA_CARDMANAGER_077	크리티컬 확률 +2%
MLUA_CARDMANAGER_078	크리티컬 확률 +3%
MLUA_CARDMANAGER_079	해금! (대미지 150)
MLUA_CARDMANAGER_080	2연타로 강화, 피해량 대폭 증가
MLUA_CARDMANAGER_081	치명타 확률 20% 신규 획득
MLUA_CARDMANAGER_082	피해량 +100
MLUA_CARDMANAGER_083	명중 시 광역 폭발 피해 신규 획득
MLUA_CARDMANAGER_084	해금! (아이스 보너스 +5%/스택, 패시브)
MLUA_CARDMANAGER_085	아이스 보너스 +1%p
MLUA_CARDMANAGER_086	적중 시 번개 연쇄 효과 신규 획득
MLUA_CARDMANAGER_087	번개 연쇄 대상 +1마리
MLUA_CARDMANAGER_088	번개 연쇄 대상 +1마리, 5스택 시 빙결 폭발 신규 획득
MLUA_CARDMANAGER_089	해금! (대미지 110, 광역 범위, 타겟 1명)
MLUA_CARDMANAGER_090	출혈 효과 신규 획득
MLUA_CARDMANAGER_091	출혈 피해량 증가
MLUA_CARDMANAGER_092	해금! (대미지 300, 고정 광역)
MLUA_CARDMANAGER_093	쿨타임 감소
MLUA_CARDMANAGER_094	범위 증가
MLUA_CARDMANAGER_095	피해량 +70
MLUA_CARDMANAGER_096	쿨타임 감소, 확률적 2연타 효과 신규 획득
MLUA_CARDMANAGER_097	해금! (대미지 100, 광역 범위, 1타)
MLUA_CARDMANAGER_098	타격 횟수 증가
