MLUA_CARDMANAGER_462	다단타격
MLUA_CARDMANAGER_463	관통,둔화
MLUA_CARDMANAGER_464	관통,스턴
MLUA_CARDMANAGER_465	광역,화상
MLUA_CARDMANAGER_466	쿨감버프
MLUA_CARDMANAGER_467	크리티컬버프
MLUA_CARDMANAGER_468	관통,연쇄
MLUA_CARDMANAGER_469	빙결,연쇄
MLUA_CARDMANAGER_470	광역,출혈
MLUA_CARDMANAGER_471	고정,광역
MLUA_CARDMANAGER_472	광역,넉백
MLUA_CARDMANAGER_473	다중,속박
MLUA_CARDMANAGER_474	다중,빙결
MLUA_CARDMANAGER_475	광역,스턴,3연타
MLUA_CARDMANAGER_476	다중,슬로우,빙결
MLUA_CARDMANAGER_477	패시브,피해감소
MLUA_CARDMANAGER_478	연쇄,치명타
MLUA_CARDMANAGER_479	광역,관통,출혈,넉백
MLUA_CARDMANAGER_480	고정,광역,확률2연타
MLUA_CARDMANAGER_481	패시브,피해증가
MLUA_CARDMANAGER_482	다중,빙결,범위
MLUA_CARDMANAGER_483	다중,속박,추가타
MLUA_CARDMANAGER_484	다중,관통
MLUA_CARDMANAGER_485	단일,확률강화
MLUA_CARDMANAGER_486	광역,다중,슬로우
MLUA_CARDMANAGER_487	광역,다중,슬로우대상추가딜
MLUA_CARDMANAGER_488	소환,광역,지속딜,슬로우대상추가딜
MLUA_CARDMANAGER_489	횡,관통,다중
MLUA_CARDMANAGER_490	종,범위,다중
MLUA_CARDMANAGER_491	횡,관통,크리티컬
MLUA_CARDMANAGER_492	종,범위,크리티컬
MLUA_CARDMANAGER_493	넉백,충돌,폭발
MLUA_CARDMANAGER_494	단일,넉백
MLUA_CARDMANAGER_495	광역,다중,슬로우,스턴,추가딜
MLUA_CARDMANAGER_496	소환,광역,2단히트,크리티컬
MLUA_CARDMANAGER_497	다중,연타,확률추가타
MLUA_CARDMANAGER_498	단일,연사,확률강화,3연타
MLUA_CARDMANAGER_499	패시브,쿨감
MLUA_CARDMANAGER_500	패시브,크리티컬
MLUA_CARDMANAGER_501	패시브,크리티컬대미지
MLUA_CARDMANAGER_502	패시브,확률추가공격
MLUA_CARDMANAGER_503	빨간 포션
MLUA_CARDMANAGER_504	하얀 포션
MLUA_CARDMANAGER_505	장어구이
MLUA_CARDMANAGER_506	쭈쭈바
MLUA_CARDMANAGER_507	엘릭서
MLUA_CARDMANAGER_509	무료
MLUA_CARDMANAGER_510	중복 스킬을 획득해 골드 500을 얻었습니다!
MLUA_CARDREGISTRY_001	콤보 어택
MLUA_CARDREGISTRY_002	패시브,확률스택
MLUA_CARDREGISTRY_003	슬래시
MLUA_CARDREGISTRY_004	다중타격,콤보스택
MLUA_CARDREGISTRY_005	브랜디쉬
MLUA_CARDREGISTRY_006	플래시 슬래시
MLUA_CARDREGISTRY_007	관통이동,콤보스택
MLUA_CARDREGISTRY_008	돌진
MLUA_CARDREGISTRY_009	넉백,충돌피해
MLUA_CARDREGISTRY_010	오라 블레이드
MLUA_CARDREGISTRY_011	레이징 블로우
MLUA_CARDREGISTRY_012	다중타격
MLUA_CARDREGISTRY_013	리프 어택
MLUA_CARDREGISTRY_014	속박,콤보스택
MLUA_CARDREGISTRY_015	소환수,단일타격
MLUA_CARDREGISTRY_016	브레이브 슬래시
MLUA_CARDREGISTRY_017	다중타격,콤보스택,스턴
MLUA_CARDREGISTRY_018	찬스 어택
MLUA_CARDREGISTRY_019	코마
MLUA_CARDREGISTRY_020	패시브,폭발강화
MLUA_CARDREGISTRY_021	셀프 리커버리
MLUA_CARDREGISTRY_022	패시브,회복
