MLUA_CARDREGISTRY_023	워리어 마스터리
MLUA_CARDREGISTRY_024	스피릿 블레이드
MLUA_CARDREGISTRY_025	버닝 러시
MLUA_CARDREGISTRY_026	넉백,충돌피해,범위폭발
MLUA_CARDREGISTRY_027	슬래시 스톰
MLUA_CARDREGISTRY_028	솔라 블레이드
MLUA_CARDREGISTRY_029	스카링 블레이드
MLUA_CARDREGISTRY_030	퓨리어스 블로우
MLUA_CARDREGISTRY_031	다중타격,확률강화
MLUA_CARDREGISTRY_032	더블 스탭
MLUA_CARDREGISTRY_033	새비지 블로우
MLUA_CARDREGISTRY_034	연막탄
MLUA_CARDREGISTRY_035	광역,디버프,지속피해
MLUA_CARDREGISTRY_036	스틸
MLUA_CARDREGISTRY_037	다중타격,드랍
MLUA_CARDREGISTRY_038	메소 익스플로젼
MLUA_CARDREGISTRY_039	범위,드랍연계
MLUA_CARDREGISTRY_040	쉐도우 파트너
MLUA_CARDREGISTRY_041	소환,모방
MLUA_CARDREGISTRY_042	다크 플레어
MLUA_CARDREGISTRY_043	스턴,다중타격
MLUA_CARDREGISTRY_044	대거 액셀레이션
MLUA_CARDREGISTRY_045	패시브,쿨타임감소
MLUA_CARDREGISTRY_046	크리티컬 엣지
MLUA_CARDREGISTRY_047	카르마
MLUA_CARDREGISTRY_048	피지컬 트레이닝
MLUA_CARDREGISTRY_049	다크 사이트
MLUA_CARDREGISTRY_050	패시브,회피
MLUA_CARDREGISTRY_051	암살
MLUA_CARDREGISTRY_052	다중타격,조합
MLUA_CARDREGISTRY_053	소닉 블로우
MLUA_CARDREGISTRY_054	연막난무
MLUA_CARDREGISTRY_055	아주르 엣지
MLUA_CARDREGISTRY_056	넉백,광역,조합
MLUA_CARDREGISTRY_057	메소 데토네이션
MLUA_CARDREGISTRY_058	범위,스턴,조합
MLUA_CARDREGISTRY_059	듀얼 쉐도우 파트너
MLUA_CARDREGISTRY_060	소환수,조합
MLUA_CARDREGISTRY_061	어비설 플레어
MLUA_CARDREGISTRY_062	범위,지속피해,조합
MLUA_CARDREGISTRY_063	기본공격,발사체
MLUA_CARDREGISTRY_064	다중타격,낙하
MLUA_CARDREGISTRY_065	관통,다중타격
MLUA_CARDREGISTRY_066	광역,투사체
MLUA_CARDREGISTRY_067	분열,투사체
MLUA_CARDREGISTRY_068	추적,지속
MLUA_CARDREGISTRY_069	광역,즉발
MLUA_CARDREGISTRY_070	설치,지속,광역
MLUA_CARDREGISTRY_071	속박,즉발
MLUA_CARDREGISTRY_072	스로잉 액셀레이션
MLUA_CARDREGISTRY_073	자벨린 마스터리
MLUA_CARDREGISTRY_074	스피릿 자벨린
MLUA_CARDREGISTRY_075	래디컬 다크니스
MLUA_CARDREGISTRY_076	시프 커닝
MLUA_CARDREGISTRY_077	표창술
MLUA_CARDREGISTRY_078	패시브,추가공격
MLUA_CARDREGISTRY_079	조합,다중타격,낙하
MLUA_CARDREGISTRY_080	조합,관통,다중타격
MLUA_CARDREGISTRY_081	조합,속박,추가타
MLUA_CARDREGISTRY_082	조합,광역,지속피해
MLUA_CARDREGISTRY_083	조합,분열,투사체
MLUA_CARDREGISTRY_084	조합,추적,광역폭발
MLUA_CARDREGISTRY_085	조합,광역,스턴
MLUA_CARDREGISTRY_086	조합,설치광역,출혈
MLUA_CHARACTERUNLOCKLOGIC_001	쉐이드
MLUA_CHARACTERUNLOCKLOGIC_002	어둠 속에서 날카로운 단도로 적을 처단하는 도적
MLUA_CHARACTERUNLOCKLOGIC_003	린
MLUA_CHARACTERUNLOCKLOGIC_004	쏟아지는 표창으로 적을 압도하는 표창의 달인
MLUA_DAMAGESKINLOGIC_001	기본
MLUA_DAMAGESKINLOGIC_002	젤리빈
