MLUA_DAMAGESKINLOGIC_003	고스트
MLUA_DAMAGESKINLOGIC_004	스타플래닛
MLUA_DAMAGESKINLOGIC_005	블랙로즈
MLUA_DAMAGESKINLOGIC_006	전설의 Ver.2
MLUA_DAMAGESKINLOGIC_007	보안관
MLUA_DIASHOPUI_001	상품 준비 중입니다
MLUA_DPSMETERUI_001	DPS 접기
MLUA_DPSMETERUI_002	DPS 보기
MLUA_EP1ZONE2MANOLOGIC_001	마노가 나타났다!
MLUA_EP2MAP1CHESTEASTEREGGLOGIC_001	열쇠가 필요합니다!
MLUA_EP2MAP2ARENALOGIC_001	전투가 시작됩니다! 승리를 거머쥘 몬스터를 선택하세요!
MLUA_EP2MAP2ARENALOGIC_002	곧 전투가 시작됩니다!
MLUA_EP2MAP2ARENALOGIC_003	다시하기 (무료)
MLUA_EP2MAP2ARENALOGIC_005	우승! 레이온은 이미 해금되어 있습니다
MLUA_EP2MAP2ARENALOGIC_006	레이온
MLUA_EP2MAP2ARENALOGIC_007	적중할수록 강해지는 전사.⏎승부의 흐름을 읽고 결정적인 순간에⏎강력한 일격을 꽂아 넣는다.
MLUA_EP2MAP2ARENALOGIC_008	재화가 부족합니다
MLUA_EP2MAP2SKILLCHESTLOGIC_001	스킬을 얻었다!
MLUA_EP2MAP2SKILLCHESTLOGIC_002	회복 포션을 얻었다!
MLUA_EP2MAP2STATUEPUZZLELOGIC_001	맵 어딘가에 변화가 생겼습니다
MLUA_EP2MAP2STATUEPUZZLELOGIC_002	석상이 반응하지 않습니다
MLUA_EP2MAP4CENTAURLOGIC_001	켄타우로스 무리가 나타났습니다!
MLUA_EP2MINIBEANEASTEREGGLOGIC_001	미니빈이 출현했다!
MLUA_EP3MAP1INVITATIONEASTEREGGLOGIC_001	맵 어딘가에 변화가 생겼습니다!
MLUA_EP3MAP1MUSHROOMLOGIC_001	한겨울의 주황버섯이 나타났다!
MLUA_EP3MAP2BONUSBOSSLOGIC_001	이미 입장했습니다!
MLUA_EP3MAP2BONUSBOSSLOGIC_002	곧 다른 맵으로 이동합니다!
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_001	길잃은 루돌프가 등장했다! 터치해보자!
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_002	앗..! 멈춰있을 때 다시 시도해 보자!
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_003	산타에게 말을 걸어보자!
MLUA_EP3MAP3PUNKOEASTEREGGLOGIC_001	푼코 무리가 나타났다!
MLUA_EP3MAP4ESTER1PORTALLOGIC_001	자격의 증표를 사용했습니다
MLUA_EP3MAP4ESTER1PORTALLOGIC_002	숨겨진 포탈이 나타났다!
MLUA_EP3MAP4ESTER1PORTALLOGIC_003	제한시간이 종료되어 원래 위치로 돌아갑니다
MLUA_EPISODEREWARDLOGIC_003	방어구
MLUA_EPISODEREWARDLOGIC_004	무기
MLUA_EPISODEREWARDUI_001	모두 받음
MLUA_EPISODEREWARDUI_002	모든 에피소드 보상을 받았어요!
MLUA_EPISODEREWARDUI_003	받기
MLUA_ERRORCODEENUM_001	일시적인 오류가 발생했어요.
MLUA_ERRORCODEENUM_002	잘못된 요청이에요.
MLUA_ERRORCODEENUM_003	지금 위치에서는 할 수 없어요.
MLUA_ERRORCODEENUM_004	아직 사용할 수 없는 직업이에요.
MLUA_ERRORCODEENUM_005	잠시 후 다시 시도해 주세요.
MLUA_ERRORCODEENUM_006	유저 정보를 찾을 수 없어요.
MLUA_ERRORCODEENUM_007	데이터를 불러오는 중이에요. 잠시 후 다시 시도해 주세요.
MLUA_ERRORCODEENUM_008	이용이 제한된 계정이에요.
MLUA_ERRORCODEENUM_009	데이터를 불러오지 못했어요.
MLUA_ERRORCODEENUM_010	인벤토리를 불러오지 못했어요.
MLUA_ERRORCODEENUM_011	아이템을 찾을 수 없어요.
MLUA_ERRORCODEENUM_012	사용할 수 없는 아이템이에요.
MLUA_ERRORCODEENUM_013	사용할 수 없는 장비예요.
MLUA_ERRORCODEENUM_014	잠긴 아이템이에요.
MLUA_ERRORCODEENUM_015	착용 중인 장비예요.
MLUA_ERRORCODEENUM_016	이미 사라진 아이템이에요.
MLUA_ERRORCODEENUM_017	버릴 수 없는 아이템이에요.
MLUA_ERRORCODEENUM_018	기간이 만료된 아이템이에요.
MLUA_ERRORCODEENUM_019	레벨이 부족해요.
MLUA_ERRORCODEENUM_020	이 직업은 착용할 수 없어요.
MLUA_ERRORCODEENUM_021	이미 착용 중이에요.
MLUA_ERRORCODEENUM_022	해제할 장비가 없어요.
MLUA_ERRORCODEENUM_023	착용할 수 있는 칸이 없어요.
MLUA_ERRORCODEENUM_024	아이템 개수가 부족해요.
MLUA_ERRORCODEENUM_025	잠글 수 없는 아이템이에요.
MLUA_ERRORCODEENUM_026	같은 종류의 효과가 이미 적용 중이에요.
MLUA_ERRORCODEENUM_027	아이템을 받지 못했어요.
MLUA_ERRORCODEENUM_028	아이템을 삭제하지 못했어요.
MLUA_ERRORCODEENUM_029	장비창이 가득 찼어요.
MLUA_ERRORCODEENUM_030	이미 최고 등급이라 합성할 수 없어요.
MLUA_ERRORCODEENUM_031	합성할 수 없는 재료예요.
