MLUA_PLAYERINVENTORY_064	샐리온의 꼬리
MLUA_PLAYERINVENTORY_065	라이오너의 꼬리
MLUA_PLAYERINVENTORY_066	루이넬의 꼬리
MLUA_PLAYERINVENTORY_067	저빌의 치아
MLUA_PLAYERINVENTORY_068	골든 저빌의 망토
MLUA_PLAYERINVENTORY_069	페넥의 창
MLUA_PLAYERINVENTORY_070	골든 페넥의 방패
MLUA_PLAYERINVENTORY_071	스코피의 투구
MLUA_PLAYERINVENTORY_072	골든 스코피의 투구
MLUA_PLAYERINVENTORY_073	맘무트의 꼬리
MLUA_PLAYERINVENTORY_074	골든 맘무트의 상아
MLUA_PLAYERINVENTORY_075	주니어 샐리온의 불꽃 구슬
MLUA_PLAYERINVENTORY_076	주니어 라이오너의 번개 주화
MLUA_PLAYERINVENTORY_077	주니어 그류핀의 얼음 돌
MLUA_PLAYERINVENTORY_078	주니어 루이넬의 보랏빛 주화
MLUA_PLAYERINVENTORY_079	트라고스의 돌조각
MLUA_PLAYERINVENTORY_080	캐피바라의 황금 결정
MLUA_PLAYERINVENTORY_081	발광 박쥐의 날개
MLUA_PLAYERINVENTORY_082	불안정한 에르다스의 정수
MLUA_PLAYERINVENTORY_083	알 수 없는 티켓
MLUA_PLAYERINVENTORY_084	알 수 없는 열쇠
MLUA_PLAYERINVENTORY_085	알 수 없는 메달
MLUA_PLAYERINVENTORY_086	검투사의 증표
MLUA_PLAYERINVENTORY_087	리티의 털뭉치
MLUA_PLAYERINVENTORY_088	다크 리티의 털뭉치
MLUA_PLAYERINVENTORY_089	뻣뻣한 깃털
MLUA_PLAYERINVENTORY_090	눈덩이
MLUA_PLAYERINVENTORY_091	다크 주니어 예티의 가죽
MLUA_PLAYERINVENTORY_092	페페 코인
MLUA_PLAYERINVENTORY_093	다크 페페의 부리
MLUA_PLAYERINVENTORY_094	헥터의 꼬리
MLUA_PLAYERINVENTORY_095	화이트팽의 꼬리
MLUA_PLAYERINVENTORY_096	생크림
MLUA_PLAYERINVENTORY_097	젤라틴
MLUA_PLAYERINVENTORY_098	예티의 뿔
MLUA_PLAYERINVENTORY_099	다크 예티의 뿔
MLUA_PLAYERINVENTORY_100	얼음 조각
MLUA_PLAYERINVENTORY_101	차가운 얼음조각
MLUA_PLAYERINVENTORY_102	웨어울프의 발톱
MLUA_PLAYERINVENTORY_103	라이칸스로프의 발톱
MLUA_PLAYERINVENTORY_104	눈송이 결정
MLUA_PLAYERINVENTORY_105	플라이아이의 눈알
MLUA_PLAYERINVENTORY_106	레인디어의 뿔
MLUA_PLAYERINVENTORY_107	블러드 레인디어의 방울
MLUA_PLAYERINVENTORY_108	좀비의 잃어버린 어금니
MLUA_PLAYERINVENTORY_109	좀비의 잃어버린 금니
MLUA_PLAYERINVENTORY_110	미믹의 유리병
MLUA_PLAYERINVENTORY_111	초대권
MLUA_PLAYERINVENTORY_112	자격의 증표
MLUA_RAIDLOGIC_001	캐릭터들이 부활했어요! 다시 보스를 공격합니다
MLUA_RAIDLOGIC_005	지금은 받을 수 있는 레이드 보상이 없어요
MLUA_RAIDTUTORIALUI_001	레이드가 생성되었습니다!
MLUA_RAIDUI_001	보스 체력
MLUA_RAIDUI_002	정산 중
MLUA_RANKUI_001	기록 없음
MLUA_RANKUI_003	집계 중
MLUA_RANKUI_004	모험가
MLUA_RELICINVENTORY_001	시그너스의 손수건
MLUA_RELICINVENTORY_002	만년설화
MLUA_RELICINVENTORY_003	시몬수의자
MLUA_RELICINVENTORY_004	룬
MLUA_RELICINVENTORY_005	봉인된 오브
MLUA_RELICINVENTORY_006	지혜의 항아리
MLUA_RELICINVENTORY_007	에오스의 돌
MLUA_RELICINVENTORY_008	황금 카드
MLUA_RELICINVENTORY_009	성배
MLUA_RELICINVENTORY_010	힘의 마법석
MLUA_RELICINVENTORY_011	수리검
MLUA_RELICINVENTORY_012	낡은 피아노
MLUA_RELICINVENTORY_013	무닌
