MLUA_RELICINVENTORY_014	자수정
MLUA_RELICINVENTORY_015	소행성
MLUA_RELICINVENTORY_016	팬더 허수아비
MLUA_RELICINVENTORY_017	복주머니
MLUA_RELICINVENTORY_018	검은 방패
MLUA_RELICINVENTORY_019	기본 공격력
MLUA_RELICINVENTORY_020	기본 공격 속도
MLUA_RELICINVENTORY_021	상태이상 지속 시간
MLUA_RELICINVENTORY_022	보스에게 가하는 피해
MLUA_RELICINVENTORY_023	스킬 피해량
MLUA_RELICINVENTORY_024	스킬 쿨타임 감소
MLUA_RELICINVENTORY_025	적 이동 속도 감소
MLUA_RELICINVENTORY_026	보스 스킬 드롭율
MLUA_RELICINVENTORY_027	골드 획득
MLUA_RELICINVENTORY_028	상태이상 적에게 주는 피해
MLUA_RELICINVENTORY_029	치명타 시 2배 코인 확률
MLUA_RELICINVENTORY_030	경험치 획득
MLUA_RELICINVENTORY_031	크리티컬 피해
MLUA_RELICINVENTORY_032	크리티컬 확률
MLUA_RELICINVENTORY_033	포션 회복량
MLUA_RELICINVENTORY_034	체력 10% 미만 시 무적
MLUA_RELICINVENTORY_035	포션 드롭율
MLUA_RELICINVENTORY_036	몬스터에게 입는 피해 감소
MLUA_RELICINVENTORY_037	알 수 없는 효과
MLUA_RELICUI_001	미보유
MLUA_RELICUPGRADEUI_003	최대 레벨입니다
MLUA_RUNSTARTCONFIRMUI_002	자리가 없는 아이템은 사라져요.⏎그래도 시작할까요?
MLUA_SHADOWSHOPUI_001	엘릭서 포션
MLUA_SHADOWSHOPUI_002	스킬 레벨이 최대치입니다!
MLUA_SHADOWSHOPUI_003	매진
MLUA_SHADOWSHOPUI_004	구매 완료!
MLUA_SHOPPURCHASELOGIC_001	스타터 패키지
MLUA_SHOPPURCHASELOGIC_002	다이아 500⏎구미호 대미지 스킨
MLUA_SHOPPURCHASELOGIC_003	160 코인
MLUA_SHOPPURCHASELOGIC_004	1회 한정
MLUA_SHOPPURCHASELOGIC_005	다이아 300
MLUA_SHOPPURCHASELOGIC_006	440 코인
MLUA_SHOPPURCHASELOGIC_007	다이아 600
MLUA_SHOPPURCHASELOGIC_008	880 코인
MLUA_SHOPPURCHASELOGIC_009	다이아 1,300
MLUA_SHOPPURCHASELOGIC_010	보너스 100 포함
MLUA_SHOPPURCHASELOGIC_011	1,760 코인
MLUA_SHOPPURCHASELOGIC_012	다이아 2,800
MLUA_SHOPPURCHASELOGIC_013	보너스 300 포함
MLUA_SHOPPURCHASELOGIC_014	3,480 코인
MLUA_SHOPPURCHASELOGIC_015	다이아 6,500
MLUA_SHOPPURCHASELOGIC_016	보너스 1,100 포함
MLUA_SHOPPURCHASELOGIC_017	7,880 코인
MLUA_SHOPPURCHASELOGIC_018	다이아 8,500
MLUA_SHOPPURCHASELOGIC_019	보너스 1,700 포함
MLUA_SHOPPURCHASELOGIC_020	10,000 코인
MLUA_SHOPUI_001	장착중
MLUA_SHOPUI_002	장착하기
MLUA_SHOPUI_003	스타터팩 전용
MLUA_SHOPUI_004	스타터 패키지에서만 얻을 수 있어요
MLUA_SHOPUI_005	이미 구매한 상품입니다
MLUA_SKILLINVENTORY_001	포션
MLUA_SKILLINVENTORY_002	에로우 일루전
MLUA_SKILLUPGRADEUI_002	다음 효과 상승 구간(Lv3/6/9)까지의 축적 단계 (효과 없음)
MLUA_SKILLUPGRADEUI_003	전체 쿨타임 2% 감소
MLUA_SKILLUPGRADEUI_004	전체 쿨타임 4% 감소
MLUA_SKILLUPGRADEUI_005	전체 쿨타임 6% 감소
MLUA_SKILLUPGRADEUI_006	회복량 5% 증가
MLUA_SKILLUPGRADEUI_007	회복량 7% 증가
MLUA_SKILLUPGRADEUI_008	회복량 9% 증가
MLUA_SKILLUPGRADEUI_009	받는 피해 3% 감소
MLUA_SKILLUPGRADEUI_010	받는 피해 6% 감소
MLUA_SKILLUPGRADEUI_011	받는 피해 9% 감소
MLUA_SKILLUPGRADEUI_012	대미지 10% 증가
MLUA_SKILLUPGRADEUI_013	스턴 지속시간 1초 증가
