MLUA_SKILLUPGRADEUI_014	스턴 확률 10% 증가
MLUA_SKILLUPGRADEUI_015	쿨타임 5% 감소
MLUA_SKILLUPGRADEUI_016	20% 확률로 빙결 스택 +1
MLUA_SKILLUPGRADEUI_017	출혈 대미지 2% 증가
MLUA_SKILLUPGRADEUI_018	크리티컬 확률 5% 증가
MLUA_SKILLUPGRADEUI_019	크리티컬 확률 +4%
MLUA_SKILLUPGRADEUI_020	크리티컬 확률 +6%
MLUA_SKILLUPGRADEUI_021	빙결 스택당 보너스대미지 +3%
MLUA_SKILLUPGRADEUI_022	빙결 스택당 보너스대미지 +6%
MLUA_SKILLUPGRADEUI_023	빙결 스택당 보너스대미지 +9%
MLUA_SKILLUPGRADEUI_024	전체 스킬 피해량 2% 증가
MLUA_SKILLUPGRADEUI_025	전체 스킬 피해량 4% 증가
MLUA_SKILLUPGRADEUI_026	전체 스킬 피해량 6% 증가
MLUA_SKILLUPGRADEUI_027	2연타 확률 +5%
MLUA_SKILLUPGRADEUI_028	10% 확률로 빙결 스택 +1
MLUA_SKILLUPGRADEUI_029	10% 확률로 빙결 스택 +2
MLUA_SKILLUPGRADEUI_030	크리티컬 확률 10% 추가
MLUA_SKILLUPGRADEUI_031	2연타 확률 +10%
MLUA_SKILLUPGRADEUI_032	10% 확률로 빙결 스택 +3
MLUA_SKILLUPGRADEUI_033	추가 타격 +1
MLUA_SKILLUPGRADEUI_034	슬로우 확률 +10%
MLUA_SKILLUPGRADEUI_035	슬로우 상태 적 추가 대미지 +10%
MLUA_SKILLUPGRADEUI_036	유지시간 +1초
MLUA_SKILLUPGRADEUI_037	크리티컬 확률 +5%
MLUA_SKILLUPGRADEUI_038	충돌 대미지 +15%
MLUA_SKILLUPGRADEUI_039	쿨타임 8% 감소
MLUA_SKILLUPGRADEUI_040	스턴 시간 +1초
MLUA_SKILLUPGRADEUI_041	대미지 15% 증가
MLUA_SKILLUPGRADEUI_042	추가 타격 +2
MLUA_SKILLUPGRADEUI_043	크리티컬 확률 +8%
MLUA_SKILLUPGRADEUI_044	쿨타임 2% 감소
MLUA_SKILLUPGRADEUI_045	쿨타임 4% 감소
MLUA_SKILLUPGRADEUI_046	쿨타임 6% 감소
MLUA_SKILLUPGRADEUI_047	크리티컬 대미지 +3%
MLUA_SKILLUPGRADEUI_048	크리티컬 대미지 +6%
MLUA_SKILLUPGRADEUI_049	크리티컬 대미지 +9%
MLUA_SKILLUPGRADEUI_050	추가 공격 확률 +3%
MLUA_SKILLUPGRADEUI_051	추가 공격 확률 +6%
MLUA_SKILLUPGRADEUI_052	추가 공격 확률 +9%
MLUA_SKILLUPGRADEUI_053	피해량 2% 증가
MLUA_SKILLUPGRADEUI_054	피해량 4% 증가
MLUA_SKILLUPGRADEUI_055	피해량 6% 증가
MLUA_SKILLUPGRADEUI_056	추가 콤보 발동 확률 +50%
MLUA_SKILLUPGRADEUI_057	충돌 대미지 20% 증가
MLUA_SKILLUPGRADEUI_058	강화 타격 확률 +10%
MLUA_SKILLUPGRADEUI_059	소환수 대미지 10% 증가
MLUA_SKILLUPGRADEUI_060	스턴 지속시간 +1초
MLUA_SKILLUPGRADEUI_061	2타 대미지 +10%
MLUA_SKILLUPGRADEUI_062	충돌·착지 대미지 15% 증가
MLUA_SKILLUPGRADEUI_063	콤보 폭발 대미지 15% 증가
MLUA_SKILLUPGRADEUI_064	검기 대미지 15% 증가
MLUA_SKILLUPGRADEUI_065	소환수 대미지 15% 증가
MLUA_SKILLUPGRADEUI_066	콤보 발동 확률 +3%
MLUA_SKILLUPGRADEUI_067	콤보 발동 확률 +6%
MLUA_SKILLUPGRADEUI_068	콤보 발동 확률 +9%
MLUA_SKILLUPGRADEUI_069	콤보 폭발 대미지 +5%
MLUA_SKILLUPGRADEUI_070	콤보 폭발 대미지 +10%
MLUA_SKILLUPGRADEUI_071	콤보 폭발 대미지 +15%
MLUA_SKILLUPGRADEUI_072	지속시간 +1초
MLUA_SKILLUPGRADEUI_073	대미지 5% 증가
MLUA_SKILLUPGRADEUI_074	지속시간 +2초
MLUA_SKILLUPGRADEUI_075	크리티컬 확률 +9%
MLUA_SKILLUPGRADEUI_076	회피 확률 +4%
MLUA_SKILLUPGRADEUI_077	회피 확률 +6%
MLUA_TUTORIALGUIDEUI_001	다가오는 몬스터를 처치하세요!⏎몬스터를 터치하면 해당 몬스터를 우선 공격합니다.
MLUA_TUTORIALGUIDEUI_002	몬스터를 잡아서 레벨을 올려보세요!
MLUA_TUTORIALGUIDEUI_003	카드를 눌러 스킬을 배워보세요!
MLUA_TUTORIALGUIDEUI_004	레벨업하며 다양한 스킬을 조합하고 몰려오는 몬스터를 물리치세요!⏎맵 곳곳에 숨겨진 이스터에그도 놓치지 마세요!
MLUA_TUTORIALGUIDEUI_005	맵 곳곳에 숨겨진 다양한 이스터에그를 찾아보세요!
MLUA_UICOMPOSEPOPUP_002	품질 S 유지
