MLUA_WEAPONTIERDATALOGIC_053	이름은 귀엽지만 장갑은 강력하다.
MLUA_WEAPONTIERDATALOGIC_054	누가 만들었는지도 모를 밋밋한 은반지.
MLUA_WEAPONTIERDATALOGIC_055	새벽빛을 한 조각 떼어 박아 넣었다고 한다.
MLUA_WEAPONTIERDATALOGIC_056	겨울에 피는 꽃을 그대로 굳혀 놓은 듯하다.
MLUA_WEAPONTIERDATALOGIC_057	지켜주겠다는 약속이 반지 모양으로 남았다.
MLUA_WEAPONTIERDATALOGIC_058	요정 여왕이 흘린 눈물이라기엔 너무 단단하다.
MLUA_WEAPONTIERDATALOGIC_059	들여다보면 저쪽에서도 이쪽을 보고 있다.
MLUA_WEAPONTIERDATALOGIC_060	낡았지만 없는 것보단 낫다.
MLUA_WEAPONTIERDATALOGIC_061	보기만 해도 마음이 조금 편안해진다.
MLUA_WEAPONTIERDATALOGIC_062	하늘을 날 수 있을 것 같지만 못 난다.
MLUA_WEAPONTIERDATALOGIC_063	검은색이라 어디에나 잘 어울린다.
MLUA_WEAPONTIERDATALOGIC_064	붉은 날개를 두른 듯한 망토.
MLUA_WEAPONTIERDATALOGIC_065	푸른색이라 제법 시원해 보인다.
MLUA_WEAPONTIERDATALOGIC_066	나무 스태프
MLUA_WEAPONTIERDATALOGIC_067	아크 스태프
MLUA_WEAPONTIERDATALOGIC_068	공격력
MLUA_WEAPONTIERDATALOGIC_069	이블윙즈
MLUA_WEAPONTIERDATALOGIC_070	적 100마리 처치 시 Lv.3 썬더 볼트
MLUA_WEAPONTIERDATALOGIC_071	적 100마리 처치 시 Lv.3 썬더 커터
MLUA_WEAPONTIERDATALOGIC_072	적 100마리 처치 시 Lv.3 에너지 볼트
MLUA_WEAPONTIERDATALOGIC_073	적 100마리 처치 시 Lv.3 페페
MLUA_WEAPONTIERDATALOGIC_074	케이그
MLUA_WEAPONTIERDATALOGIC_075	드래곤 스태프
MLUA_WEAPONTIERDATALOGIC_076	쿨타임
MLUA_WEAPONTIERDATALOGIC_077	쟈이힌 스태프
MLUA_WEAPONTIERDATALOGIC_078	Lv.5 썬더 볼트
MLUA_WEAPONTIERDATALOGIC_079	Lv.5 썬더 커터
MLUA_WEAPONTIERDATALOGIC_080	Lv.5 에너지 볼트
MLUA_WEAPONTIERDATALOGIC_081	Lv.5 페페
MLUA_WEAPONTIERDATALOGIC_082	무명의 은반지
MLUA_WEAPONTIERDATALOGIC_083	여명의 금반지
MLUA_WEAPONTIERDATALOGIC_084	서리꽃 반지
MLUA_WEAPONTIERDATALOGIC_085	천사의 맹세
MLUA_WEAPONTIERDATALOGIC_086	페어리퀸의 눈물
MLUA_WEAPONTIERDATALOGIC_087	심연의 눈동자
MLUA_WEAPONTIERDATALOGIC_088	워 보우
MLUA_WEAPONTIERDATALOGIC_089	레드 바이퍼
MLUA_WEAPONTIERDATALOGIC_090	기본 공격 피해량 {P}% 증가
MLUA_WEAPONTIERDATALOGIC_091	봉황위궁
MLUA_WEAPONTIERDATALOGIC_092	적 10마리 처치 시 추가 기본 공격
MLUA_WEAPONTIERDATALOGIC_093	골든 아룬드
MLUA_WEAPONTIERDATALOGIC_094	메투스
MLUA_WEAPONTIERDATALOGIC_095	골든 니스록
MLUA_WEAPONTIERDATALOGIC_096	기본 공격 시 {P}% 확률로 추가 공격 1회 발동
MLUA_WEAPONTIERDATALOGIC_097	양손검
MLUA_WEAPONTIERDATALOGIC_098	하이랜더
MLUA_WEAPONTIERDATALOGIC_099	공격력 {P}%
MLUA_WEAPONTIERDATALOGIC_100	그리스
MLUA_WEAPONTIERDATALOGIC_101	적 30마리 처치 시 HP {P}% 회복
MLUA_WEAPONTIERDATALOGIC_102	그륜힐
MLUA_WEAPONTIERDATALOGIC_103	청운검
MLUA_WEAPONTIERDATALOGIC_104	받는 피해 {P}% 감소
MLUA_WEAPONTIERDATALOGIC_105	참화도
MLUA_WEAPONTIERDATALOGIC_106	HP 30% 이하 시 공격력 {P}% 증가
MLUA_WEAPONTIERDATALOGIC_107	삼각 자마다르
MLUA_WEAPONTIERDATALOGIC_108	태극부채
MLUA_WEAPONTIERDATALOGIC_109	게타
MLUA_WEAPONTIERDATALOGIC_110	몬스터 30마리 처치 시 치명타 확률 {P}% 증가(10초), 지속시간동안 갱신X
MLUA_WEAPONTIERDATALOGIC_111	용천권
MLUA_WEAPONTIERDATALOGIC_112	바키트
MLUA_WEAPONTIERDATALOGIC_113	블러드 대거
MLUA_WEAPONTIERDATALOGIC_114	기본 공격시 {C}% 확률 치명타 피해 {P}% 증가(10초), 지속시간동안 갱신X
MLUA_WEAPONTIERDATALOGIC_115	드라카즈 제복
MLUA_WEAPONTIERDATALOGIC_116	다크 오로라 로브
MLUA_WEAPONTIERDATALOGIC_117	전투 시작 시 최대 HP의 {P}% 보호막 획득
MLUA_WEAPONTIERDATALOGIC_118	빛의 수련기사 로브
MLUA_WEAPONTIERDATALOGIC_119	몬스터 50마리 처치 시 HP {P}% 회복
MLUA_WEAPONTIERDATALOGIC_120	여제의 쓸만한 로브
MLUA_WEAPONTIERDATALOGIC_121	템페스트 후드로브
MLUA_WEAPONTIERDATALOGIC_122	HP 30% 이하일 때 받는 피해 {P}% 감소
