MLUA_WEAPONTIERDATALOGIC_123	얼티밋 슈트
MLUA_WEAPONTIERDATALOGIC_124	치명적인 피해를 받을 때 5초 무적(전투당 1회)
MLUA_WEAPONTIERDATALOGIC_125	기사단 제복
MLUA_WEAPONTIERDATALOGIC_126	10주년 화이트 슈트
MLUA_WEAPONTIERDATALOGIC_127	메이플 베릴 리센느
MLUA_WEAPONTIERDATALOGIC_128	메이플 래티넘 리센느
MLUA_WEAPONTIERDATALOGIC_129	피격 시 {P}% 확률로 피해 무효화
MLUA_WEAPONTIERDATALOGIC_130	메이플 이올렛 슈트
MLUA_WEAPONTIERDATALOGIC_131	10주년 블랙 슈트
MLUA_WEAPONTIERDATALOGIC_132	HP가 20% 이하가 되면 즉시 HP {P}% 회복(전투당 1회)
MLUA_WEAPONTIERDATALOGIC_133	신문지 투구
MLUA_WEAPONTIERDATALOGIC_134	본 헬름
MLUA_WEAPONTIERDATALOGIC_135	공격력 +{P}%
MLUA_WEAPONTIERDATALOGIC_136	자쿰의 투구
MLUA_WEAPONTIERDATALOGIC_137	몬스터 50마리 처치 시 모든 스킬 쿨타임 {P}% 감소
MLUA_WEAPONTIERDATALOGIC_138	데비존의 모자
MLUA_WEAPONTIERDATALOGIC_139	템페스트 깃털모자
MLUA_WEAPONTIERDATALOGIC_140	스킬 사용 시 다음 기본 공격의 대미지 {P}% 증가 (10초)
MLUA_WEAPONTIERDATALOGIC_141	벨룸의 헬름
MLUA_WEAPONTIERDATALOGIC_142	스킬 사용 후 다음 스킬의 대미지 {P}% 증가 (10초)
MLUA_WEAPONTIERDATALOGIC_143	노가다 목장갑
MLUA_WEAPONTIERDATALOGIC_144	알타이르 글러브
MLUA_WEAPONTIERDATALOGIC_145	기본 공격 대미지 +{P}%
MLUA_WEAPONTIERDATALOGIC_146	하드레더 글로브
MLUA_WEAPONTIERDATALOGIC_147	기본 공격 20회마다 다음 기본 공격의 치명타 확률 +{P}% 증가 (5초)
MLUA_WEAPONTIERDATALOGIC_148	해군 함장의 장갑
MLUA_WEAPONTIERDATALOGIC_149	기본 공격 30회마다 다음 기본 공격의 대미지 {P}% 증가
MLUA_WEAPONTIERDATALOGIC_150	무공의 장갑
MLUA_WEAPONTIERDATALOGIC_151	기본 공격으로 적 처치 시 다음 기본 공격의 대미지 {P}% 증가
MLUA_WEAPONTIERDATALOGIC_152	소공의 장갑
MLUA_WEAPONTIERDATALOGIC_153	기본 공격 10회마다 강화 공격 발동 (기본 공격 대미지의 200%)
MLUA_WEAPONTIERDATALOGIC_154	허름한 망토
MLUA_WEAPONTIERDATALOGIC_155	온화의 망토
MLUA_WEAPONTIERDATALOGIC_156	피해량 +{P}%
MLUA_WEAPONTIERDATALOGIC_157	이카루스 망토
MLUA_WEAPONTIERDATALOGIC_158	몬스터 50마리 처치 시 피해량 +{P}% (10초)
MLUA_WEAPONTIERDATALOGIC_159	검은색 가이아의 망토
MLUA_WEAPONTIERDATALOGIC_160	엘리트/보스 몬스터에게 주는 피해량 +{P}%
MLUA_WEAPONTIERDATALOGIC_161	빨간색 세라프의 망토
MLUA_WEAPONTIERDATALOGIC_162	체력 +{P}%
MLUA_WEAPONTIERDATALOGIC_163	파란색 자일즈의 망토
MLUA_WEAPONTIERDATALOGIC_164	기본 공격시 %s%% 확률 %s
MLUA_WORLDCHARACTERSELECTUI_001	아르카나
MLUA_WORLDCHARACTERSELECTUI_002	번개와 얼음을 자유자재로 다루는 살짝 어벙한 마법사
MLUA_WORLDCHARACTERSELECTUI_003	장비 250개를 획득하세요!
MLUA_WORLDCHARACTERSELECTUI_004	아무 몬스터 100,000마리를 처치하세요!
MLUA_WORLDCHARACTERSELECTUI_006	폭풍을 머금은 화살로 전장을 휩쓰는 궁수
MLUA_WORLDCHARACTERSELECTUI_007	태초의 마을에 숨겨진 봉인을 찾아 해제하세요!
MLUA_WORLDCHARACTERSELECTUI_008	강인한 육체와 엄청난 힘으로 적을 압도하는 전사
MLUA_WORLDCHARACTERSELECTUI_009	구름정원 콜로세움에서 1위를 차지하세요!
MLUA_WORLDCHARACTERSELECTUI_010	준비 중인 캐릭터입니다.
MLUA_ZONE21ALIENEASTEREGGLOGIC_001	외계인의 습격이 일어납니다!
UI_ACHIEVEMENTGROUP_001	모두 받기
UI_ACHIEVEMENTGROUP_002	업적 달성 0 / 50
UI_ACHIEVEMENTGROUP_003	업적 조건
UI_ACHIEVEMENTGROUP_004	업적 이름
UI_CHARACTERUNLOCKGROUP_001	획득
UI_DEFAULTGROUP_001	보너스 스테이지
UI_DEFAULTGROUP_002	쿨타임 : 0s
UI_DEFAULTGROUP_003	데미지 : 0
UI_DEFAULTGROUP_004	카드 이름
UI_DEFAULTGROUP_005	총 대미지
UI_DEFAULTGROUP_006	히든맵 탈출까지
UI_DEFAULTGROUP_007	경험치 2배!
UI_DEFAULTGROUP_008	남은 시간
UI_EPISODEREWARDGROUP_001	에피소드 보상
UI_EPISODEREWARDGROUP_002	EP1 ⏎5분 생존!
UI_EPISODEREWARDGROUP_003	EP1 ⏎10분 생존!
UI_EPISODEREWARDGROUP_004	EP1 ⏎15분 생존!
UI_EPISODEREWARDGROUP_005	EP2 ⏎5분 생존!
