UI_EPISODEREWARDGROUP_006	EP2 ⏎10분 생존!
UI_EPISODEREWARDGROUP_007	EP2 ⏎15분 생존!
UI_EPISODEREWARDGROUP_008	EP3 ⏎5분 생존!
UI_EPISODEREWARDGROUP_009	EP3 ⏎10분 생존!
UI_EPISODEREWARDGROUP_010	EP3 ⏎15분 생존!
UI_EQUIPMENTGROUP_001	합성
UI_EQUIPMENTGROUP_002	노말 → 레어
UI_EQUIPMENTGROUP_003	품질 - 유지
UI_EQUIPMENTGROUP_004	품질 승급 확률
UI_EQUIPMENTGROUP_005	스킬 추가!
UI_EQUIPMENTGROUP_006	합성 결과
UI_EQUIPMENTGROUP_007	전체
UI_EQUIPMENTGROUP_008	아니오
UI_EQUIPMENTGROUP_009	예
UI_EQUIPMENTGROUP_010	높은 등급의 장비가 사라집니다.⏎합성 후에는 되돌릴 수 없습니다.
UI_EQUIPMENTGROUP_011	정말 합성하시겠습니까?
UI_EQUIPMENTGROUP_012	장비 합성
UI_EQUIPMENTGROUP_013	일괄 레벨업
UI_EQUIPMENTGROUP_014	레벨업
UI_EQUIPMENTGROUP_015	잠금
UI_EQUIPMENTGROUP_016	삭제
UI_EQUIPMENTGROUP_017	아이템 설명
UI_EQUIPMENTGROUP_018	（등급 도달 시 해금）
UI_EQUIPMENTGROUP_019	등급 스킬
UI_EQUIPMENTGROUP_020	아이템 이름
UI_EQUIPMENTGROUP_021	닉네임
UI_EQUIPMENTGROUP_022	무기 강화 주문서
UI_EQUIPMENTGROUP_023	확인
UI_EQUIPMENTGROUP_024	내용을 입력하세요
UI_GACHAGROUP_001	닫기
UI_GACHAGROUP_002	아이템
UI_GACHAGROUP_003	확률
UI_GACHAGROUP_004	공개된 확률은 게임법 시행령에 따라 반올림한 값으로⏎합산된 결과가 100%가 되지 않을 수 있습니다.
UI_GACHAGROUP_005	획득 확률
UI_GACHAGROUP_006	획득한 유물!
UI_GACHAGROUP_007	유물 뽑기
UI_GAMEOVERGROUP_001	다이아 500⏎골드 100,000
UI_GAMEOVERGROUP_002	구매 완료
UI_GAMEOVERGROUP_003	다이아 상점
UI_GAMEOVERGROUP_004	이어하기⏎재화 900
UI_GAMEOVERGROUP_005	다시하기
UI_GAMEOVERGROUP_006	획득 스코어
UI_GAMEOVERGROUP_007	0 점
UI_IDLEREWARDGROUP_001	장비 인벤토리가 가득 찼어요!
UI_IDLEREWARDGROUP_002	자리가 없는 장비는 사라져요.⏎그래도 받을까요?
UI_IDLEREWARDGROUP_003	(최대 24시간)
UI_IDLEREWARDGROUP_004	장비는 2시간마다 1개씩 쌓여요
UI_IDLEREWARDGROUP_005	자동 시간 : 00분 00초
UI_IDLEREWARDGROUP_006	방치 보상
UI_LEVELREWARDGROUP_001	레벨 5 보상
UI_LOADINGGROUP_001	본 월드는 생성형 AI를 활용하여 제작된 콘텐츠를 포함하고 있습니다.
UI_OPTIONGROUP_001	정말 게임을 종료할까요?
UI_OPTIONGROUP_002	이번 판이 여기서 끝납니다.
UI_OPTIONGROUP_003	조합식
UI_OPTIONGROUP_004	배경음
UI_OPTIONGROUP_005	조합
UI_OPTIONGROUP_006	게임 종료
UI_OPTIONGROUP_007	게임 방법
UI_OPTIONGROUP_008	효과음
UI_OPTIONGROUP_009	옵션
UI_POPUPGROUP_001	팝업 메시지
UI_RAIDGROUP_001	보상 받기
UI_RAIDGROUP_002	캐릭터 화력 (초당)
UI_RAIDGROUP_003	보상을 받아야 새 시즌이 시작됩니다
UI_RAIDGROUP_004	지난 시즌 레이드 종료
UI_RAIDGROUP_005	부활!
UI_RAIDGROUP_006	24시간 넘게 자리를 비워⏎캐릭터들이 유령이 되었어요
UI_RAIDGROUP_007	남은시간
UI_RELICUPGRADEGROUP_001	유물명
UI_RELICUPGRADEGROUP_002	옵션 설명
