UI_RELICUPGRADEGROUP_003	10000코인
UI_RELICUPGRADEGROUP_004	업그레이드
UI_RUNSTARTCONFIRMGROUP_001	시작
UI_RUNSTARTCONFIRMGROUP_002	무기 인벤토리가 가득 찼어요!
UI_SHADOWSHOPGROUP_001	구매
UI_SHADOWSHOPGROUP_002	그림자 정수
UI_SHADOWSHOPGROUP_003	남은 수량: 0
UI_SHADOWSHOPGROUP_004	비밀 상점
UI_TITLEGROUP_001	게임 시작
UI_TITLEGROUP_002	일반 게임을 진행하면 자동으로⏎레이드 공격이 진행됩니다!
UI_TITLEGROUP_003	일반 게임을 플레이할수록⏎레이드 대미지가 높아집니다!
UI_TITLEGROUP_004	24시간 미접속 시 캐릭터가⏎죽을 수 있으니 주의하세요!
UI_TITLEGROUP_005	높은 등급을 달성하고 특별한⏎보상을 획득하세요!
UI_TITLEGROUP_006	아직 등록된 기록이 없어요
UI_TITLEGROUP_007	이름
UI_TITLEGROUP_008	순위
UI_TITLEGROUP_009	점수
UI_TITLEGROUP_010	내 순위
UI_TITLEGROUP_011	랭킹 (준비중)
UI_TITLEGROUP_012	타임어택 랭킹
UI_TITLEGROUP_013	무제한 랭킹
UI_TITLEGROUP_014	랭킹
UI_TITLEGROUP_015	유물 (준비중)
UI_TITLEGROUP_016	대미지 스킨
UI_TITLEGROUP_017	상점
UI_TITLEGROUP_018	캐릭터 ▼
UI_TITLEGROUP_019	등급 ▼
UI_TITLEGROUP_020	스킬 1
UI_TITLEGROUP_021	스킬 2
UI_TITLEGROUP_022	스킬 11
UI_TITLEGROUP_023	스킬 12
UI_TITLEGROUP_024	스킬 13
UI_TITLEGROUP_025	스킬 14
UI_TITLEGROUP_026	스킬 15
UI_TITLEGROUP_027	스킬 16
UI_TITLEGROUP_028	스킬 17
UI_TITLEGROUP_029	스킬 18
UI_TITLEGROUP_030	스킬 3
UI_TITLEGROUP_031	스킬 4
UI_TITLEGROUP_032	스킬 5
UI_TITLEGROUP_033	스킬 6
UI_TITLEGROUP_034	스킬 7
UI_TITLEGROUP_035	스킬 8
UI_TITLEGROUP_036	스킬 9
UI_TITLEGROUP_037	스킬 10
UI_TITLEGROUP_038	전투
UI_WORLDCHARACTERSELECTGROUP_001	CC기를 보유한 마법사
UI_WORLDCHARACTERSELECTGROUP_002	썬콜법사
UI_WORLDCHARACTERSELECTGROUP_003	준비중
UI_WORLDCHARACTERSELECTGROUP_004	무제한 모드
UI_WORLDCHARACTERSELECTGROUP_005	태초의 마을 10분 생존 시 열림
