FMT_ACHIEVEMENTUI_001	Achievements {0} / {1}	成就 {0} / {1}	実績 {0} / {1}
FMT_ATTENDANCELOGIC_001	x{0}	{0}個	{0}個
FMT_CARDMANAGER_001	{0} (+{1})	{0} (+{1}強化)	{0} (+{1}強化)
FMT_CARDMANAGER_002	Cold Beam Lv.{0}	寒冰光束 Lv.{0}	コールドビーム Lv.{0}
FMT_CARDMANAGER_003	Thunder Bolt Lv.{0}	雷電術 Lv.{0}	サンダーボルト Lv.{0}
FMT_CARDMANAGER_004	Magic Booster Lv.{0}	魔法加速 Lv.{0}	マジックブースター Lv.{0}
FMT_CARDMANAGER_005	Magic Critical Lv.{0}	魔法爆擊 Lv.{0}	マジッククリティカル Lv.{0}
FMT_CARDMANAGER_006	Damage: {0}	傷害：{0}	ダメージ：{0}
FMT_CARDMANAGER_007	Cooldown -{0}%  (Permanent)	冷卻時間 -{0}%  (永久)	クールタイム -{0}%  (永続)
FMT_CARDMANAGER_008	Critical {0}%  (Permanent)	爆擊率 {0}%  (永久)	クリティカル {0}%  (永続)
FMT_CARDMANAGER_009	Ice Bonus: +{0}%/stack	冰凍加成：+{0}%/層	アイスボーナス：+{0}%/スタック
FMT_CARDMANAGER_010	Damage Taken: -{0}%  (Permanent)	受到傷害：-{0}%  (永久)	被ダメージ：-{0}%  (永続)
FMT_CARDMANAGER_011	Damage Increase: +{0}%  (Permanent)	傷害增加：+{0}%  (永久)	ダメージ増加：+{0}%  (永続)
FMT_CARDMANAGER_012	Damage: {0}  (per hit)	傷害：{0}  (每次攻擊)	ダメージ：{0}  (1ヒットごと)
FMT_CARDMANAGER_013	Critical Damage +{0}%  (Permanent)	爆擊傷害 +{0}%  (永久)	クリティカルダメージ +{0}%  (永続)
FMT_CARDMANAGER_014	Extra Attack Chance {0}%  (Permanent)	追加攻擊機率 {0}%  (永久)	追加攻撃確率 {0}%  (永続)
FMT_CARDMANAGER_015	Stack Chance: {0}%  (Permanent)	疊層機率：{0}%  (永久)	スタック確率：{0}%  (永続)
FMT_CARDMANAGER_016	Enhanced Coma Damage {0}%  (Permanent)	強化昏迷傷害 {0}%  (永久)	強化コーマダメージ {0}%  (永続)
FMT_CARDMANAGER_017	Restores {1}% HP every {0}s  (Permanent)	每{0}秒恢復 {1}% HP  (永久)	{0}秒ごとにHPを{1}%回復  (永続)
FMT_CARDMANAGER_018	Damage Dealt: +{0}%  (Permanent)	造成傷害：+{0}%  (永久)	与ダメージ：+{0}%  (永続)
FMT_CARDMANAGER_019	Evasion {0}%  (Permanent)	迴避攻擊 {0}%  (永久)	攻撃回避 {0}%  (永続)
FMT_CARDMANAGER_020	Extra Attack {0}% (Damage {1}%)  (Permanent)	追加攻擊 {0}% (傷害 {1}%)  (永久)	追加攻撃 {0}% (ダメージ {1}%)  (永続)
FMT_CARDMANAGER_021	Damage: {0}  (per sec)  |  Bonus Damage: {1}	傷害：{0}  (每秒)  |  追加傷害：{1}	ダメージ：{0}  (毎秒)  |  追加ダメージ：{1}
FMT_CARDMANAGER_022	Damage: {0}  (per Meso)	傷害：{0}  (每個楓幣)	ダメージ：{0}  (メル1個ごと)
FMT_CARDMANAGER_023	Skill Copy {0}%  |  Basic Attack Copy {1}%	技能複製 {0}%  |  普通攻擊複製 {1}%	スキルコピー {0}%  |  通常攻撃コピー {1}%
FMT_CARDMANAGER_024	Damage: {0}  (per tick/sec)	傷害：{0}  (每秒持續)	ダメージ：{0}  (毎秒ティック)
FMT_CARDMANAGER_025	Damage: {0}  (per sec)	傷害：{0}  (每秒)	ダメージ：{0}  (毎秒)
FMT_CARDMANAGER_026	Cooldown: {0}s	冷卻時間：{0}秒	クールタイム：{0}秒
FMT_CARDMANAGER_027	Targets: {0}	目標：{0}名	ターゲット：{0}体
FMT_CARDMANAGER_028	Targets: {0}  |  Slow 3s	目標：{0}名  |  緩速 3秒	ターゲット：{0}体  |  スロー 3秒
FMT_CARDMANAGER_029	Targets {0}  |  Stun {1}% {2}s (Boss/Elite {3}s)	目標 {0}名  |  暈眩 {1}% {2}秒(首領/菁英 {3}秒)	ターゲット {0}体  |  スタン {1}% {2}秒(ボス/エリート {3}秒)
FMT_CARDMANAGER_030	Targets {0}	目標 {0}名	ターゲット {0}体
FMT_CARDMANAGER_031	{0}Critical 20%	{0}爆擊 20%	{0}クリティカル 20%
FMT_CARDMANAGER_032	{0}AoE	{0}範圍	{0}範囲
FMT_CARDMANAGER_033	Targets {0}  |  AoE	目標 {0}名  |  範圍攻擊	ターゲット {0}体  |  範囲攻撃
FMT_CARDMANAGER_034	{0}  |  Bleed {1}%/tick (3s)	{0}  |  流血 {1}%/次 (3秒)	{0}  |  出血 {1}%/ティック (3秒)
FMT_CARDMANAGER_035	{0}  |  25% chance of 2 hits (2nd hit 50%)	{0}  |  25%機率 2連擊(第2擊 50%)	{0}  |  25%の確率で2連撃(2撃目 50%)
FMT_CARDMANAGER_036	AoE  |  {0} hits	範圍  |  {0}擊	範囲  |  {0}ヒット
FMT_CARDMANAGER_037	{0}  |  Knockback	{0}  |  擊退	{0}  |  ノックバック
FMT_CARDMANAGER_038	Targets {0}  |  Bind {1}s	目標 {0}名  |  束縛 {1}秒	ターゲット {0}体  |  バインド {1}秒
FMT_CARDMANAGER_039	Targets {0}  |  Freeze Stack +1	目標 {0}名  |  冰凍層數 +1	ターゲット {0}体  |  凍結スタック +1
FMT_CARDMANAGER_040	Targets {0}  |  3 hits  |  Stun {1}% {2}s	目標 {0}名  |  3連擊  |  暈眩 {1}% {2}秒	ターゲット {0}体  |  3連撃  |  スタン {1}% {2}秒
FMT_CARDMANAGER_041	Targets {0}  |  Slow, Freeze Stack 2	目標 {0}名  |  緩速、冰凍層數 2	ターゲット {0}体  |  スロー、凍結スタック 2
FMT_CARDMANAGER_042	Chain {0}  |  Critical +20%  |  Last strike +{1}%	連鎖 {0}名  |  爆擊 +20%  |  最後一擊 +{1}%	連鎖 {0}体  |  クリティカル +20%  |  最後の着弾 +{1}%
FMT_CARDMANAGER_043	Fixed AoE  |  {0}% chance of 2 hits (2nd hit 50%)	固定範圍  |  {0}%機率 2連擊(第2擊 50%)	固定範囲  |  {0}%の確率で2連撃(2撃目 50%)
FMT_CARDMANAGER_044	Targets {0}  |  Freeze Stack +1  |  Extra hit Damage {1}%	目標 {0}名  |  冰凍層數 +1  |  追加攻擊傷害 {1}%	ターゲット {0}体  |  凍結スタック +1  |  追加攻撃ダメージ {1}%
FMT_CARDMANAGER_045	Targets {0}  |  Bind 3s  |  Extra hit Damage {1}%	目標 {0}名  |  束縛 3秒  |  追加攻擊傷害 {1}%	ターゲット {0}体  |  バインド 3秒  |  追加攻撃ダメージ {1}%
FMT_CARDMANAGER_046	{0} Arrows	箭矢 {0}支	矢 {0}本
FMT_CARDMANAGER_047	{0}  |  Enhanced Arrow {1}% ({2}% Damage)	{0}  |  強化箭矢 {1}% ({2}% 傷害)	{0}  |  強化矢 {1}% ({2}% ダメージ)
FMT_CARDMANAGER_048	{0} Impacts  |  AoE  |  Slow {1}% {2}s	落點 {0}個  |  範圍  |  緩速 {1}% {2}秒	着弾 {0}個  |  範囲  |  スロー {1}% {2}秒
FMT_CARDMANAGER_049	{0} Impacts  |  AoE  |  +{1}% Damage to Slowed	落點 {0}個  |  範圍  |  對緩速目標 +{1}% 傷害	着弾 {0}個  |  範囲  |  スロー中の敵に +{1}% ダメージ
FMT_CARDMANAGER_050	Lasts {0}s  |  AoE  |  +{1}% Damage to Slowed	持續 {0}秒  |  範圍  |  對緩速目標 +{1}% 傷害	持続 {0}秒  |  範囲  |  スロー中の敵に +{1}% ダメージ
FMT_CARDMANAGER_051	{0} Arrows  |  Pierce {1}	箭矢 {0}支  |  穿透 {1}次	矢 {0}本  |  貫通 {1}回
FMT_CARDMANAGER_052	{0} Impacts  |  AoE	落點 {0}個  |  範圍	着弾 {0}個  |  範囲
FMT_CARDMANAGER_053	{0} Arrows  |  Pierce {1}  |  Critical +{2}%	箭矢 {0}支  |  穿透 {1}次  |  爆擊 +{2}%	矢 {0}本  |  貫通 {1}回  |  クリティカル +{2}%
FMT_CARDMANAGER_054	{0} Impacts  |  AoE  |  Critical +{1}%	落點 {0}個  |  範圍  |  爆擊 +{1}%	着弾 {0}個  |  範囲  |  クリティカル +{1}%
FMT_CARDMANAGER_055	Targets 2  |  Knockback  |  Struck unit {0}%  |  AoE {1}% Damage	目標 2名  |  擊退  |  被擊單位 {0}%  |  範圍 {1}% 傷害	ターゲット 2体  |  ノックバック  |  打撃ユニット {0}%  |  範囲 {1}% ダメージ
FMT_CARDMANAGER_056	Targets {0}  |  Knockback  |  {1}% Damage to collided	目標 {0}名  |  擊退  |  碰撞目標 {1}% 傷害	ターゲット {0}体  |  ノックバック  |  衝突した敵に {1}% ダメージ
FMT_CARDMANAGER_057	{0} Impacts  |  AoE  |  Slow, Stun {1}s  |  {2}% Damage to Slowed	落點 {0}個  |  範圍  |  緩速、暈眩 {1}秒  |  對緩速目標 {2}% 傷害	着弾 {0}個  |  範囲  |  スロー、スタン {1}秒  |  スロー中の敵に {2}% ダメージ
FMT_CARDMANAGER_058	Lasts {0}s  |  AoE  |  Critical {1}%  |  {2}% Damage to Slowed	持續 {0}秒  |  範圍  |  爆擊 {1}%  |  對緩速目標 {2}% 傷害	持続 {0}秒  |  範囲  |  クリティカル {1}%  |  スロー中の敵に {2}% ダメージ
FMT_CARDMANAGER_059	Rapid fire up to {0}  |  Extra hit {1}% ({2}% Damage)	最多連射 {0}名  |  追加攻擊 {1}% ({2}% 傷害)	最大 {0}体に連射  |  追加打撃 {1}% ({2}% ダメージ)
