FMT_SKILLUPGRADEUI_001	Next level: Lv.{0}⏎{1}	下一等級：Lv.{0}⏎{1}	次のレベル：Lv.{0}⏎{1}
FMT_UICOMPOSEPOPUP_001	{0}⏎(Highest grade)	{0}⏎(最高等級)	{0}⏎(最高等級)
FMT_UICOMPOSEPOPUP_002	Quality {0} kept	維持品質 {0}	品質 {0} 維持
FMT_UICOMPOSEPOPUP_003	Quality upgraded to {0}	品質晉升 {0}	品質 {0} に昇格
FMT_WORLDCHARACTERSELECTUI_001	ATK {0}%⏎HP {1}%	攻擊力 {0}%⏎體力 {1}%	攻撃力 {0}%⏎HP {1}%
FMT_WORLDCHARACTERSELECTUI_002	{0}⏎⏎Equipment⏎({1} / {2})	{0}⏎⏎裝備⏎({1} / {2})	{0}⏎⏎装備⏎({1} / {2})
FMT_WORLDCHARACTERSELECTUI_003	{0}⏎⏎Monsters Defeated⏎({1} / {2})	{0}⏎⏎擊敗怪物⏎({1} / {2})	{0}⏎⏎モンスター討伐⏎({1} / {2})
MLUA_ACHIEVEMENTLOGIC_001	Novice Hunter	新手獵人	初心者ハンター
MLUA_ACHIEVEMENTLOGIC_002	Defeat 1,000 monsters	擊敗1,000隻怪物	モンスターを1,000体討伐
MLUA_ACHIEVEMENTLOGIC_003	Skilled Hunter	熟練獵人	熟練ハンター
MLUA_ACHIEVEMENTLOGIC_004	Defeat 10,000 monsters	擊敗10,000隻怪物	モンスターを10,000体討伐
MLUA_ACHIEVEMENTLOGIC_005	Legendary Hunter	傳說獵人	伝説のハンター
MLUA_ACHIEVEMENTLOGIC_006	Defeat 100,000 monsters	擊敗100,000隻怪物	モンスターを100,000体討伐
MLUA_ACHIEVEMENTLOGIC_007	Elite Hunter	菁英獵人	エリートハンター
MLUA_ACHIEVEMENTLOGIC_008	Defeat 10 Elite monsters	擊敗10隻菁英怪物	エリートモンスターを10体討伐
MLUA_ACHIEVEMENTLOGIC_009	Elite Slaughterer	菁英屠戮者	エリートスレイヤー
MLUA_ACHIEVEMENTLOGIC_010	Defeat 100 Elite monsters	擊敗100隻菁英怪物	エリートモンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_011	First Boss Kill	首次擊敗首領	初めてのボス討伐
MLUA_ACHIEVEMENTLOGIC_012	Defeat a Boss monster once	擊敗首領怪物1次	ボスモンスターを1回討伐
MLUA_ACHIEVEMENTLOGIC_013	Boss Hunter	首領獵人	ボスハンター
MLUA_ACHIEVEMENTLOGIC_014	Defeat Boss monsters 10 times	擊敗首領怪物10次	ボスモンスターを10回討伐
MLUA_ACHIEVEMENTLOGIC_015	Boss Slayer	首領殺手	ボススレイヤー
MLUA_ACHIEVEMENTLOGIC_016	Defeat Boss monsters 50 times	擊敗首領怪物50次	ボスモンスターを50回討伐
MLUA_ACHIEVEMENTLOGIC_017	Sky Hunter	天空獵人	空のハンター
MLUA_ACHIEVEMENTLOGIC_018	Defeat 300 flying monsters	擊敗300隻飛行怪物	飛行モンスターを300体討伐
MLUA_ACHIEVEMENTLOGIC_019	Snail Expert	蝸牛博士	カタツムリ博士
MLUA_ACHIEVEMENTLOGIC_020	Defeat 100 snail-type monsters	擊敗100隻蝸牛類怪物	カタツムリ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_021	Mushroom Picker	蘑菇採集者	キノコ採集家
MLUA_ACHIEVEMENTLOGIC_022	Defeat 100 mushroom-type monsters	擊敗100隻蘑菇類怪物	キノコ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_023	Pig Herder	趕豬人	ブタ追い
MLUA_ACHIEVEMENTLOGIC_024	Defeat 100 pig/boar-type monsters	擊敗100隻豬·野豬類怪物	ブタ・イノシシ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_025	Squishy	軟綿綿	ぷにぷに
MLUA_ACHIEVEMENTLOGIC_026	Defeat 100 slime-type monsters	擊敗100隻史萊姆類怪物	スライム系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_027	Lumberjack	伐木工	木こり
MLUA_ACHIEVEMENTLOGIC_028	Defeat 100 stump-type monsters	擊敗100隻木妖類怪物	スタンプ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_029	Pixie Hunter	精靈獵人	ピクシーハンター
MLUA_ACHIEVEMENTLOGIC_030	Defeat 200 pixie-type monsters	擊敗200隻精靈類怪物	ピクシー系モンスターを200体討伐
MLUA_ACHIEVEMENTLOGIC_031	Botanist	植物學家	植物学者
MLUA_ACHIEVEMENTLOGIC_032	Defeat 100 Nependeath-type monsters	擊敗100隻奈本德斯類怪物	ネペンデス系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_033	Rock Breaker	碎石者	岩砕き
MLUA_ACHIEVEMENTLOGIC_034	Defeat 100 golem-type monsters	擊敗100隻石巨人類怪物	ゴーレム系モンスターを100体討伐
