MLUA_CARDMANAGER_027	Showdown Challenge	決戰挑戰	ショーダウンチャレンジ
MLUA_CARDMANAGER_029	Showdown Impact	決戰衝擊	ショーダウンインパクト
MLUA_CARDMANAGER_031	Spin Throw	旋轉投擲	スピンスロー
MLUA_CARDMANAGER_032	Blood Throw	血之投擲	ブラッドスロー
MLUA_CARDMANAGER_033	Shadow Trap	暗影陷阱	シャドウトラップ
MLUA_CARDMANAGER_034	Death Trap	死亡陷阱	デストラップ
MLUA_CARDMANAGER_035	Lucky Seven	雙飛斬	ラッキーセブン
MLUA_CARDMANAGER_036	Super Seven	超級雙飛斬	スーパーセブン
MLUA_CARDMANAGER_037	Muspelheim	穆斯佩爾海姆	ムスペルヘイム
MLUA_CARDMANAGER_038	Scaring Sword	恐懼之劍	スケアリングソード
MLUA_CARDMANAGER_039	Song of the Wind	風之詩	風の詩
MLUA_CARDMANAGER_040	Song of the Storm	暴風之詩	嵐の詩
MLUA_CARDMANAGER_041	Arrow Blow	箭之衝擊	アローブロウ
MLUA_CARDMANAGER_042	Enhanced Arrow Blow	強化箭之衝擊	強化アローブロウ
MLUA_CARDMANAGER_043	Ice Quiver	寒冰箭袋	アイスクィーバー
MLUA_CARDMANAGER_044	Fire Quiver	烈焰箭袋	ファイアクィーバー
MLUA_CARDMANAGER_045	Arrow Illusion	幻影箭	アローイリュージョン
MLUA_CARDMANAGER_046	Phoenix	火鳳凰	フェニックス
MLUA_CARDMANAGER_047	Evolve	進化	エボルブ
MLUA_CARDMANAGER_048	Retreat Shot	後退射擊	リトリートショット
MLUA_CARDMANAGER_049	Arrow Platter	箭座	アロープラッター
MLUA_CARDMANAGER_050	Uncountable Arrow	無盡之箭	アンカウンタブルアロー
MLUA_CARDMANAGER_051	Uncountable Arrow V	無盡之箭V	アンカウンタブルアローV
MLUA_CARDMANAGER_052	Flash Mirage	閃光幻影	フラッシュミラージュ
MLUA_CARDMANAGER_053	Flash Bomber	閃光轟炸	フラッシュボマー
MLUA_CARDMANAGER_054	Bow Acceleration	弓術加速	ボウアクセラレーション
MLUA_CARDMANAGER_055	Piercing Will	穿透意志	貫く意志
MLUA_CARDMANAGER_056	Critical Shot	致命射擊	クリティカルショット
MLUA_CARDMANAGER_057	Final Attack: Bow	終極攻擊：弓	ファイナルアタック：弓
MLUA_CARDMANAGER_058	Rapid Fire	連續射擊	連続射撃
MLUA_CARDMANAGER_059	Aqua Surge	水之湧動	アクアサージ
MLUA_CARDMANAGER_060	Hailstone	冰雹	ヘイルストーン
MLUA_CARDMANAGER_061	Thunderstorm	雷暴	サンダーストーム
MLUA_CARDMANAGER_062	Ice Strike	冰擊	アイスストライク
MLUA_CARDMANAGER_063	Chain Lightning	連環閃電	チェインライトニング
MLUA_CARDMANAGER_064	Not enough Diamonds	鑽石不足	ダイヤが足りません
MLUA_CARDMANAGER_065	Unlocked! (Damage 110, 2 targets, Slow 3s)	解鎖！(傷害 110，目標 2名，緩速 3秒)	解放！(ダメージ 110、ターゲット 2体、スロー 3秒)
MLUA_CARDMANAGER_066	Damage +50	傷害 +50	ダメージ +50
MLUA_CARDMANAGER_067	Targets +1	攻擊目標 +1	攻撃対象 +1
MLUA_CARDMANAGER_068	Unlocked! (Damage 90, 2 targets)	解鎖！(傷害 90，目標 2名)	解放！(ダメージ 90、ターゲット 2体)
MLUA_CARDMANAGER_069	New: Stun effect (25% chance, 2s)	新增暈眩效果(機率 25%，持續 2秒)	スタン効果を新規獲得(確率 25%、持続 2秒)
MLUA_CARDMANAGER_070	Damage +40	傷害 +40	ダメージ +40
MLUA_CARDMANAGER_071	Targets +1, Stun +1s	攻擊目標 +1，暈眩 +1秒	攻撃対象 +1、スタン +1秒
MLUA_CARDMANAGER_072	Damage +40, Stun chance +5%	傷害 +40，暈眩機率 +5%	ダメージ +40、スタン確率 +5%
MLUA_CARDMANAGER_073	Unlocked! (All skill cooldowns -5%, permanent)	解鎖！(所有技能冷卻時間 -5%，永久)	解放！(全スキルのクールタイム -5%、永続)
MLUA_CARDMANAGER_074	Cooldown reduction +2%	冷卻時間減少量 +2%	クールタイム減少量 +2%
MLUA_CARDMANAGER_075	Cooldown reduction +3%	冷卻時間減少量 +3%	クールタイム減少量 +3%
MLUA_CARDMANAGER_076	Unlocked! (Critical Rate 10%, permanent)	解鎖！(爆擊率 10%，永久)	解放！(クリティカル率 10%、永続)
MLUA_CARDMANAGER_077	Critical Rate +2%	爆擊率 +2%	クリティカル率 +2%
MLUA_CARDMANAGER_078	Critical Rate +3%	爆擊率 +3%	クリティカル率 +3%
MLUA_CARDMANAGER_079	Unlocked! (Damage 150)	解鎖！(傷害 150)	解放！(ダメージ 150)
MLUA_CARDMANAGER_080	Upgraded to 2 hits, greatly increased damage	強化為2連擊，傷害大幅提升	2連撃に強化、ダメージ大幅増加
MLUA_CARDMANAGER_081	New: 20% Critical Rate	新增 20% 爆擊率	クリティカル率 20% を新規獲得
MLUA_CARDMANAGER_082	Damage +100	傷害 +100	ダメージ +100
MLUA_CARDMANAGER_083	New: AoE explosion damage on hit	新增命中時範圍爆炸傷害	命中時に範囲爆発ダメージを新規獲得
MLUA_CARDMANAGER_084	Unlocked! (Ice Bonus +5%/stack, passive)	解鎖！(冰凍加成 +5%/層，被動)	解放！(アイスボーナス +5%/スタック、パッシブ)
MLUA_CARDMANAGER_085	Ice Bonus +1%p	冰凍加成 +1%p	アイスボーナス +1%p
MLUA_CARDMANAGER_086	New: Chain lightning on hit	新增命中時閃電連鎖效果	命中時に雷の連鎖効果を新規獲得
MLUA_CARDMANAGER_087	Chain lightning targets +1	閃電連鎖目標 +1隻	雷の連鎖対象 +1体
MLUA_CARDMANAGER_088	Chain lightning targets +1, New: Freeze explosion at 5 stacks	閃電連鎖目標 +1隻，新增5層時冰凍爆炸	雷の連鎖対象 +1体、5スタック時に凍結爆発を新規獲得
MLUA_CARDMANAGER_089	Unlocked! (Damage 110, AoE, 1 target)	解鎖！(傷害 110，範圍攻擊，目標 1名)	解放！(ダメージ 110、範囲攻撃、ターゲット 1体)
MLUA_CARDMANAGER_090	New: Bleed effect	新增流血效果	出血効果を新規獲得
MLUA_CARDMANAGER_091	Bleed damage increased	流血傷害增加	出血ダメージ増加
MLUA_CARDMANAGER_092	Unlocked! (Damage 300, fixed AoE)	解鎖！(傷害 300，固定範圍)	解放！(ダメージ 300、固定範囲)
MLUA_CARDMANAGER_093	Cooldown reduced	冷卻時間減少	クールタイム減少
MLUA_CARDMANAGER_094	Area increased	範圍增加	範囲増加
MLUA_CARDMANAGER_095	Damage +70	傷害 +70	ダメージ +70
MLUA_CARDMANAGER_096	Cooldown reduced, New: chance of 2 hits	冷卻時間減少，新增機率2連擊效果	クールタイム減少、確率で2連撃する効果を新規獲得
MLUA_CARDMANAGER_097	Unlocked! (Damage 100, AoE, 1 hit)	解鎖！(傷害 100，範圍攻擊，1擊)	解放！(ダメージ 100、範囲攻撃、1ヒット)
MLUA_CARDMANAGER_098	Hit count increased	攻擊次數增加	攻撃回数増加
