MLUA_CARDREGISTRY_023	Warrior Mastery	戰士精通	ウォーリアーマスタリー
MLUA_CARDREGISTRY_024	Spirit Blade	靈魂之刃	スピリットブレード
MLUA_CARDREGISTRY_025	Burning Rush	燃燒衝刺	バーニングラッシュ
MLUA_CARDREGISTRY_026	Knockback,Collision Damage,AoE Explosion	擊退,碰撞傷害,範圍爆炸	ノックバック,衝突ダメージ,範囲爆発
MLUA_CARDREGISTRY_027	Slash Storm	斬擊風暴	スラッシュストーム
MLUA_CARDREGISTRY_028	Solar Blade	太陽之刃	ソーラーブレード
MLUA_CARDREGISTRY_029	Scaring Blade	恐懼之刃	スケアリングブレード
MLUA_CARDREGISTRY_030	Furious Blow	狂怒之擊	フューリアスブロー
MLUA_CARDREGISTRY_031	Multi-hit,Chance Enhance	多段攻擊,機率強化	多段攻撃,確率強化
MLUA_CARDREGISTRY_032	Double Stab	雙重刺擊	ダブルスタッブ
MLUA_CARDREGISTRY_033	Savage Blow	野蠻打擊	サベージブロー
MLUA_CARDREGISTRY_034	Smoke Bomb	煙霧彈	スモークボム
MLUA_CARDREGISTRY_035	AoE,Debuff,Damage over time	範圍,減益,持續傷害	範囲,デバフ,継続ダメージ
MLUA_CARDREGISTRY_036	Steal	神偷	スティール
MLUA_CARDREGISTRY_037	Multi-hit,Drop	多段攻擊,掉落	多段攻撃,ドロップ
MLUA_CARDREGISTRY_038	Meso Explosion	楓幣炸彈	メルエクスプロージョン
MLUA_CARDREGISTRY_039	Area,Drop combo	範圍,掉落連動	範囲,ドロップ連携
MLUA_CARDREGISTRY_040	Shadow Partner	影分身	シャドーパートナー
MLUA_CARDREGISTRY_041	Summon,Mimic	召喚,模仿	召喚,模倣
MLUA_CARDREGISTRY_042	Dark Flare	黑暗之焰	ダークフレア
MLUA_CARDREGISTRY_043	Stun,Multi-hit	暈眩,多段攻擊	スタン,多段攻撃
MLUA_CARDREGISTRY_044	Dagger Acceleration	匕首加速	ダガーアクセラレーション
MLUA_CARDREGISTRY_045	Passive,Cooldown Reduction	被動,冷卻減少	パッシブ,クールタイム減少
MLUA_CARDREGISTRY_046	Critical Edge	致命之刃	クリティカルエッジ
MLUA_CARDREGISTRY_047	Karma	業力	カルマ
MLUA_CARDREGISTRY_048	Physical Training	體能訓練	フィジカルトレーニング
MLUA_CARDREGISTRY_049	Dark Sight	隱身術	ダークサイト
MLUA_CARDREGISTRY_050	Passive,Evasion	被動,迴避	パッシブ,回避
MLUA_CARDREGISTRY_051	Assassinate	暗殺	暗殺
MLUA_CARDREGISTRY_052	Multi-hit,Fusion	多段攻擊,組合	多段攻撃,組み合わせ
MLUA_CARDREGISTRY_053	Sonic Blow	音速衝擊	ソニックブロウ
MLUA_CARDREGISTRY_054	Smoke Frenzy	煙霧亂舞	煙幕乱舞
MLUA_CARDREGISTRY_055	Azure Edge	蒼藍之刃	アジュールエッジ
MLUA_CARDREGISTRY_056	Knockback,AoE,Fusion	擊退,範圍,組合	ノックバック,範囲,組み合わせ
MLUA_CARDREGISTRY_057	Meso Detonation	楓幣引爆	メルデトネーション
MLUA_CARDREGISTRY_058	Area,Stun,Fusion	範圍,暈眩,組合	範囲,スタン,組み合わせ
MLUA_CARDREGISTRY_059	Dual Shadow Partner	雙重影分身	デュアルシャドーパートナー
MLUA_CARDREGISTRY_060	Summon,Fusion	召喚獸,組合	召喚獣,組み合わせ
MLUA_CARDREGISTRY_061	Abyssal Flare	深淵之焰	アビサルフレア
MLUA_CARDREGISTRY_062	Area,Damage over time,Fusion	範圍,持續傷害,組合	範囲,継続ダメージ,組み合わせ
MLUA_CARDREGISTRY_063	Basic Attack,Projectile	普通攻擊,投射物	通常攻撃,投射物
MLUA_CARDREGISTRY_064	Multi-hit,Falling	多段攻擊,墜落	多段攻撃,落下
MLUA_CARDREGISTRY_065	Pierce,Multi-hit	穿透,多段攻擊	貫通,多段攻撃
MLUA_CARDREGISTRY_066	AoE,Projectile	範圍,投射物	範囲,投射物
MLUA_CARDREGISTRY_067	Split,Projectile	分裂,投射物	分裂,投射物
MLUA_CARDREGISTRY_068	Homing,Lasting	追蹤,持續	追尾,持続
MLUA_CARDREGISTRY_069	AoE,Instant	範圍,瞬發	範囲,即時
MLUA_CARDREGISTRY_070	Placed,Lasting,AoE	設置,持續,範圍	設置,持続,範囲
MLUA_CARDREGISTRY_071	Bind,Instant	束縛,瞬發	バインド,即時
MLUA_CARDREGISTRY_072	Throwing Acceleration	投擲加速	スローイングアクセラレーション
MLUA_CARDREGISTRY_073	Javelin Mastery	標槍精通	ジャベリンマスタリー
MLUA_CARDREGISTRY_074	Spirit Javelin	靈魂標槍	スピリットジャベリン
MLUA_CARDREGISTRY_075	Radical Darkness	極致黑暗	ラディカルダークネス
MLUA_CARDREGISTRY_076	Thief's Cunning	盜賊的狡詐	シーフカニング
MLUA_CARDREGISTRY_077	Shuriken Mastery	飛鏢精通	手裏剣術
MLUA_CARDREGISTRY_078	Passive,Extra Attack	被動,追加攻擊	パッシブ,追加攻撃
MLUA_CARDREGISTRY_079	Fusion,Multi-hit,Falling	組合,多段攻擊,墜落	組み合わせ,多段攻撃,落下
MLUA_CARDREGISTRY_080	Fusion,Pierce,Multi-hit	組合,穿透,多段攻擊	組み合わせ,貫通,多段攻撃
MLUA_CARDREGISTRY_081	Fusion,Bind,Extra hit	組合,束縛,追加攻擊	組み合わせ,バインド,追加攻撃
MLUA_CARDREGISTRY_082	Fusion,AoE,Damage over time	組合,範圍,持續傷害	組み合わせ,範囲,継続ダメージ
MLUA_CARDREGISTRY_083	Fusion,Split,Projectile	組合,分裂,投射物	組み合わせ,分裂,投射物
MLUA_CARDREGISTRY_084	Fusion,Homing,AoE Explosion	組合,追蹤,範圍爆炸	組み合わせ,追尾,範囲爆発
MLUA_CARDREGISTRY_085	Fusion,AoE,Stun	組合,範圍,暈眩	組み合わせ,範囲,スタン
MLUA_CARDREGISTRY_086	Fusion,Placed AoE,Bleed	組合,設置範圍,流血	組み合わせ,設置範囲,出血
MLUA_CHARACTERUNLOCKLOGIC_001	Shade	夏德	シェイド
