MLUA_DAMAGESKINLOGIC_003	Ghost	幽靈	ゴースト
MLUA_DAMAGESKINLOGIC_004	Star Planet	星球	スタープラネット
MLUA_DAMAGESKINLOGIC_005	Black Rose	黑玫瑰	ブラックローズ
MLUA_DAMAGESKINLOGIC_006	Legendary Ver.2	傳說 Ver.2	伝説 Ver.2
MLUA_DAMAGESKINLOGIC_007	Sheriff	警長	保安官
MLUA_DIASHOPUI_001	Products coming soon	商品準備中	商品準備中です
MLUA_DPSMETERUI_001	Hide DPS	收起DPS	DPSを閉じる
MLUA_DPSMETERUI_002	Show DPS	顯示DPS	DPSを表示
MLUA_EP1ZONE2MANOLOGIC_001	Mano has appeared!	紅蝸牛王出現了！	マノが現れた！
MLUA_EP2MAP1CHESTEASTEREGGLOGIC_001	You need a key!	需要鑰匙！	鍵が必要です！
MLUA_EP2MAP2ARENALOGIC_001	The battle begins! Pick the monster that will claim victory!	戰鬥開始了！請選擇將獲得勝利的怪物！	戦闘が始まります！勝利をつかむモンスターを選んでください！
MLUA_EP2MAP2ARENALOGIC_002	The battle is about to begin!	戰鬥即將開始！	まもなく戦闘が始まります！
MLUA_EP2MAP2ARENALOGIC_003	Retry (Free)	重試 (免費)	リトライ (無料)
MLUA_EP2MAP2ARENALOGIC_005	Victory! Leion is already unlocked	獲勝！雷昂已經解鎖了	優勝！レイオンはすでに解放されています
MLUA_EP2MAP2ARENALOGIC_006	Leion	雷昂	レイオン
MLUA_EP2MAP2ARENALOGIC_007	A warrior who grows stronger with every hit.⏎Reading the flow of battle, at the decisive moment⏎he drives home a mighty blow.	越是命中就越強大的戰士。⏎看穿勝負的走向，在關鍵時刻⏎打出強力的一擊。	攻撃を当てるほど強くなる戦士。⏎勝負の流れを読み、決定的な瞬間に⏎強烈な一撃を叩き込む。
MLUA_EP2MAP2ARENALOGIC_008	Not enough currency	貨幣不足	通貨が足りません
MLUA_EP2MAP2SKILLCHESTLOGIC_001	Got a skill!	獲得了技能！	スキルを手に入れた！
MLUA_EP2MAP2SKILLCHESTLOGIC_002	Got a Recovery Potion!	獲得了恢復藥水！	回復ポーションを手に入れた！
MLUA_EP2MAP2STATUEPUZZLELOGIC_001	Something has changed somewhere on the map	地圖的某處發生了變化	マップのどこかに変化が起きました
MLUA_EP2MAP2STATUEPUZZLELOGIC_002	The statue does not respond	石像沒有反應	石像が反応しません
MLUA_EP2MAP4CENTAURLOGIC_001	A herd of Centaurs has appeared!	半人馬群出現了！	ケンタウロスの群れが現れました！
MLUA_EP2MINIBEANEASTEREGGLOGIC_001	Mini Bean has appeared!	迷你豆出現了！	ミニビーンが出現した！
MLUA_EP3MAP1INVITATIONEASTEREGGLOGIC_001	Something has changed somewhere on the map!	地圖的某處發生了變化！	マップのどこかに変化が起きました！
MLUA_EP3MAP1MUSHROOMLOGIC_001	A Midwinter Orange Mushroom has appeared!	隆冬的菇菇寶貝出現了！	真冬のオレンジマッシュルームが現れた！
MLUA_EP3MAP2BONUSBOSSLOGIC_001	You've already entered!	已經進入過了！	すでに入場しました！
MLUA_EP3MAP2BONUSBOSSLOGIC_002	Moving to another map soon!	即將移動到其他地圖！	まもなく別のマップへ移動します！
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_001	A lost Rudolph has appeared! Try touching it!	迷路的魯道夫出現了！試著觸碰看看吧！	迷子のルドルフが現れた！タッチしてみよう！
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_002	Oops..! Try again when it stops moving!	哎呀..！等牠停下來再試一次吧！	あっ..！止まっているときにもう一度試してみよう！
MLUA_EP3MAP2LOSTRUDOLPHLOGIC_003	Go talk to Santa!	去和聖誕老人說話吧！	サンタに話しかけてみよう！
MLUA_EP3MAP3PUNKOEASTEREGGLOGIC_001	A pack of Punkos has appeared!	普寇群出現了！	プンコの群れが現れた！
MLUA_EP3MAP4ESTER1PORTALLOGIC_001	You used the Token of Qualification	使用了資格的證明	資格の証を使用しました
MLUA_EP3MAP4ESTER1PORTALLOGIC_002	A hidden portal has appeared!	隱藏的傳送門出現了！	隠されたポータルが現れた！
MLUA_EP3MAP4ESTER1PORTALLOGIC_003	Time's up. Returning you to your original location	限制時間已結束，將返回原本的位置	制限時間が終了したため、元の位置に戻ります
MLUA_EPISODEREWARDLOGIC_003	Armor	防具	防具
MLUA_EPISODEREWARDLOGIC_004	Weapon	武器	武器
MLUA_EPISODEREWARDUI_001	All Claimed	全部領取	すべて受取済み
MLUA_EPISODEREWARDUI_002	You've claimed all episode rewards!	已領取所有章節獎勵！	すべてのエピソード報酬を受け取りました！
MLUA_EPISODEREWARDUI_003	Claim	領取	受け取る
MLUA_ERRORCODEENUM_001	A temporary error occurred.	發生暫時性錯誤。	一時的なエラーが発生しました。
MLUA_ERRORCODEENUM_002	Invalid request.	錯誤的請求。	不正なリクエストです。
MLUA_ERRORCODEENUM_003	You can't do that here.	目前位置無法執行。	現在の位置ではできません。
MLUA_ERRORCODEENUM_004	This job is not available yet.	尚無法使用的職業。	まだ使用できない職業です。
MLUA_ERRORCODEENUM_005	Please try again in a moment.	請稍後再試。	しばらくしてからもう一度お試しください。
MLUA_ERRORCODEENUM_006	User information not found.	找不到使用者資訊。	ユーザー情報が見つかりません。
MLUA_ERRORCODEENUM_007	Loading data. Please try again in a moment.	正在讀取資料，請稍後再試。	データを読み込み中です。しばらくしてからもう一度お試しください。
MLUA_ERRORCODEENUM_008	This account is restricted.	此帳號已被限制使用。	利用が制限されたアカウントです。
MLUA_ERRORCODEENUM_009	Failed to load data.	無法讀取資料。	データを読み込めませんでした。
