MLUA_PLAYERINVENTORY_064	Salion's Tail	沙里昂的尾巴	サリオンのしっぽ
MLUA_PLAYERINVENTORY_065	Lioner's Tail	萊奧納的尾巴	ライオナーのしっぽ
MLUA_PLAYERINVENTORY_066	Luinel's Tail	盧伊內爾的尾巴	ルイネルのしっぽ
MLUA_PLAYERINVENTORY_067	Gerbil's Tooth	沙鼠的牙齒	ジャービルの歯
MLUA_PLAYERINVENTORY_068	Golden Gerbil's Cape	黃金沙鼠的披風	ゴールデンジャービルのマント
MLUA_PLAYERINVENTORY_069	Fennec's Spear	耳廓狐的長槍	フェネックの槍
MLUA_PLAYERINVENTORY_070	Golden Fennec's Shield	黃金耳廓狐的盾牌	ゴールデンフェネックの盾
MLUA_PLAYERINVENTORY_071	Scorpie's Helmet	蠍子的頭盔	スコーピーの兜
MLUA_PLAYERINVENTORY_072	Golden Scorpie's Helmet	黃金蠍子的頭盔	ゴールデンスコーピーの兜
MLUA_PLAYERINVENTORY_073	Mammoth's Tail	猛獁象的尾巴	マンモスのしっぽ
MLUA_PLAYERINVENTORY_074	Golden Mammoth's Tusk	黃金猛獁象的象牙	ゴールデンマンモスの牙
MLUA_PLAYERINVENTORY_075	Jr. Salion's Flame Orb	小沙里昂的火焰珠	ジュニアサリオンの炎の玉
MLUA_PLAYERINVENTORY_076	Jr. Lioner's Lightning Coin	小萊奧納的閃電硬幣	ジュニアライオナーの雷のコイン
MLUA_PLAYERINVENTORY_077	Jr. Grupin's Ice Stone	小格魯平的冰石	ジュニアグリュピンの氷の石
MLUA_PLAYERINVENTORY_078	Jr. Luinel's Violet Coin	小盧伊內爾的紫色硬幣	ジュニアルイネルの紫のコイン
MLUA_PLAYERINVENTORY_079	Tragos's Stone Fragment	特拉戈斯的碎石	トラゴスの石のかけら
MLUA_PLAYERINVENTORY_080	Capybara's Golden Crystal	水豚的黃金結晶	カピバラの黄金の結晶
MLUA_PLAYERINVENTORY_081	Luminous Bat Wing	發光蝙蝠的翅膀	発光コウモリの翼
MLUA_PLAYERINVENTORY_082	Unstable Erdas Essence	不穩定的艾爾達斯精髓	不安定なエルダスのエッセンス
MLUA_PLAYERINVENTORY_083	Unknown Ticket	未知的票券	謎のチケット
MLUA_PLAYERINVENTORY_084	Unknown Key	未知的鑰匙	謎の鍵
MLUA_PLAYERINVENTORY_085	Unknown Medal	未知的勳章	謎のメダル
MLUA_PLAYERINVENTORY_086	Gladiator's Token	劍鬥士的證明	剣闘士の証
MLUA_PLAYERINVENTORY_087	Leatty's Fur Ball	雪球怪的毛球	リーティの毛玉
MLUA_PLAYERINVENTORY_088	Dark Leatty's Fur Ball	黑暗雪球怪的毛球	ダークリーティの毛玉
MLUA_PLAYERINVENTORY_089	Stiff Feather	硬挺的羽毛	硬い羽
MLUA_PLAYERINVENTORY_090	Snowball	雪球	雪玉
MLUA_PLAYERINVENTORY_091	Dark Jr. Yeti's Skin	黑暗小雪人的皮	ダークジュニアイエティの皮
MLUA_PLAYERINVENTORY_092	Pepe Coin	佩佩硬幣	ペペコイン
MLUA_PLAYERINVENTORY_093	Dark Pepe's Beak	黑暗佩佩的嘴喙	ダークペペのくちばし
MLUA_PLAYERINVENTORY_094	Hector's Tail	赫克托的尾巴	ヘクターのしっぽ
MLUA_PLAYERINVENTORY_095	White Fang's Tail	白牙的尾巴	ホワイトファングのしっぽ
MLUA_PLAYERINVENTORY_096	Whipped Cream	鮮奶油	生クリーム
MLUA_PLAYERINVENTORY_097	Gelatin	明膠	ゼラチン
MLUA_PLAYERINVENTORY_098	Yeti's Horn	雪人的角	イエティの角
