MLUA_RELICINVENTORY_014	Amethyst	紫水晶	アメジスト
MLUA_RELICINVENTORY_015	Asteroid	小行星	小惑星
MLUA_RELICINVENTORY_016	Panda Scarecrow	熊貓稻草人	パンダかかし
MLUA_RELICINVENTORY_017	Lucky Pouch	福袋	福袋
MLUA_RELICINVENTORY_018	Black Shield	黑色盾牌	黒い盾
MLUA_RELICINVENTORY_019	Base ATK	基本攻擊力	基本攻撃力
MLUA_RELICINVENTORY_020	Base Attack Speed	基本攻擊速度	基本攻撃速度
MLUA_RELICINVENTORY_021	Status Effect Duration	異常狀態持續時間	状態異常の持続時間
MLUA_RELICINVENTORY_022	Damage to Bosses	對首領造成的傷害	ボスへのダメージ
MLUA_RELICINVENTORY_023	Skill Damage	技能傷害	スキルダメージ
MLUA_RELICINVENTORY_024	Skill Cooldown Reduction	技能冷卻時間減少	スキルクールタイム減少
MLUA_RELICINVENTORY_025	Enemy Movement Speed Reduction	敵人移動速度降低	敵の移動速度低下
MLUA_RELICINVENTORY_026	Boss Skill Drop Rate	首領技能掉落率	ボススキルドロップ率
MLUA_RELICINVENTORY_027	Gold Gain	金幣獲得量	ゴールド獲得量
MLUA_RELICINVENTORY_028	Damage to Enemies with Status Effects	對異常狀態敵人造成的傷害	状態異常の敵へのダメージ
MLUA_RELICINVENTORY_029	Chance of 2x Coins on Critical	爆擊時雙倍金幣機率	クリティカル時にコイン2倍の確率
MLUA_RELICINVENTORY_030	EXP Gain	經驗值獲得量	経験値獲得量
MLUA_RELICINVENTORY_031	Critical Damage	爆擊傷害	クリティカルダメージ
MLUA_RELICINVENTORY_032	Critical Rate	爆擊率	クリティカル率
MLUA_RELICINVENTORY_033	Potion Recovery	藥水恢復量	ポーション回復量
MLUA_RELICINVENTORY_034	Invincible when HP is below 10%	體力低於10%時無敵	HP10%未満で無敵
MLUA_RELICINVENTORY_035	Potion Drop Rate	藥水掉落率	ポーションドロップ率
MLUA_RELICINVENTORY_036	Damage Taken from Monsters Reduced	受到怪物的傷害減少	モンスターから受けるダメージ減少
MLUA_RELICINVENTORY_037	Unknown Effect	未知的效果	謎の効果
MLUA_RELICUI_001	Not Owned	未持有	未所持
MLUA_RELICUPGRADEUI_003	Max level	已達最高等級	最大レベルです
MLUA_RUNSTARTCONFIRMUI_002	Items without space will be lost.⏎Start anyway?	沒有空位的道具將會消失。⏎仍要開始嗎？	空きのないアイテムは消えます。⏎それでも開始しますか？
MLUA_SHADOWSHOPUI_001	Elixir Potion	萬能藥水	エリクサーポーション
MLUA_SHADOWSHOPUI_002	Skill level is already at max!	技能等級已達上限！	スキルレベルが最大です！
MLUA_SHADOWSHOPUI_003	Sold Out	售罄	売り切れ
MLUA_SHADOWSHOPUI_004	Purchase complete!	購買完成！	購入完了！
MLUA_SHOPPURCHASELOGIC_001	Starter Package	新手禮包	スターターパッケージ
MLUA_SHOPPURCHASELOGIC_002	500 Diamonds⏎Nine-Tailed Fox Damage Skin	鑽石 500⏎九尾狐傷害字型	ダイヤ 500⏎九尾狐ダメージスキン
MLUA_SHOPPURCHASELOGIC_003	160 Coins	160 硬幣	160 コイン
MLUA_SHOPPURCHASELOGIC_004	One-time only	限購1次	1回限定
MLUA_SHOPPURCHASELOGIC_005	300 Diamonds	鑽石 300	ダイヤ 300
MLUA_SHOPPURCHASELOGIC_006	440 Coins	440 硬幣	440 コイン
MLUA_SHOPPURCHASELOGIC_007	600 Diamonds	鑽石 600	ダイヤ 600
MLUA_SHOPPURCHASELOGIC_008	880 Coins	880 硬幣	880 コイン
MLUA_SHOPPURCHASELOGIC_009	1,300 Diamonds	鑽石 1,300	ダイヤ 1,300
MLUA_SHOPPURCHASELOGIC_010	Includes 100 Bonus	含贈送 100	ボーナス100含む
MLUA_SHOPPURCHASELOGIC_011	1,760 Coins	1,760 硬幣	1,760 コイン
MLUA_SHOPPURCHASELOGIC_012	2,800 Diamonds	鑽石 2,800	ダイヤ 2,800
MLUA_SHOPPURCHASELOGIC_013	Includes 300 Bonus	含贈送 300	ボーナス300含む
MLUA_SHOPPURCHASELOGIC_014	3,480 Coins	3,480 硬幣	3,480 コイン
MLUA_SHOPPURCHASELOGIC_015	6,500 Diamonds	鑽石 6,500	ダイヤ 6,500
MLUA_SHOPPURCHASELOGIC_016	Includes 1,100 Bonus	含贈送 1,100	ボーナス1,100含む
MLUA_SHOPPURCHASELOGIC_017	7,880 Coins	7,880 硬幣	7,880 コイン
MLUA_SHOPPURCHASELOGIC_018	8,500 Diamonds	鑽石 8,500	ダイヤ 8,500
MLUA_SHOPPURCHASELOGIC_019	Includes 1,700 Bonus	含贈送 1,700	ボーナス1,700含む
MLUA_SHOPPURCHASELOGIC_020	10,000 Coins	10,000 硬幣	10,000 コイン
MLUA_SHOPUI_001	Equipped	使用中	装着中
MLUA_SHOPUI_002	Equip	使用	装着する
MLUA_SHOPUI_003	Starter Pack only	新手禮包限定	スターターパック専用
MLUA_SHOPUI_004	Only available from the Starter Package	只能從新手禮包獲得	スターターパッケージでのみ入手できます
MLUA_SHOPUI_005	Already purchased	已購買的商品	すでに購入した商品です
MLUA_SKILLINVENTORY_001	Potion	藥水	ポーション
MLUA_SKILLINVENTORY_002	Arrow Illusion	幻影箭	アローイリュージョン
MLUA_SKILLUPGRADEUI_002	Build-up step toward the next boost tier (Lv3/6/9) (no effect)	累積到下一個效果提升區間(Lv3/6/9)的階段(無效果)	次の効果上昇区間(Lv3/6/9)までの蓄積段階(効果なし)
MLUA_SKILLUPGRADEUI_003	All cooldowns -2%	全部冷卻時間減少 2%	全体クールタイム 2%減少
MLUA_SKILLUPGRADEUI_004	All cooldowns -4%	全部冷卻時間減少 4%	全体クールタイム 4%減少
MLUA_SKILLUPGRADEUI_005	All cooldowns -6%	全部冷卻時間減少 6%	全体クールタイム 6%減少
MLUA_SKILLUPGRADEUI_006	Recovery +5%	恢復量增加 5%	回復量 5%増加
MLUA_SKILLUPGRADEUI_007	Recovery +7%	恢復量增加 7%	回復量 7%増加
MLUA_SKILLUPGRADEUI_008	Recovery +9%	恢復量增加 9%	回復量 9%増加
MLUA_SKILLUPGRADEUI_009	Damage taken -3%	受到傷害減少 3%	被ダメージ 3%減少
MLUA_SKILLUPGRADEUI_010	Damage taken -6%	受到傷害減少 6%	被ダメージ 6%減少
MLUA_SKILLUPGRADEUI_011	Damage taken -9%	受到傷害減少 9%	被ダメージ 9%減少
MLUA_SKILLUPGRADEUI_012	Damage +10%	傷害增加 10%	ダメージ 10%増加
MLUA_SKILLUPGRADEUI_013	Stun duration +1s	暈眩持續時間增加 1秒	スタン持続時間 1秒増加
