MLUA_SKILLUPGRADEUI_014	Stun chance +10%	暈眩機率增加 10%	スタン確率 10%増加
MLUA_SKILLUPGRADEUI_015	Cooldown -5%	冷卻時間減少 5%	クールタイム 5%減少
MLUA_SKILLUPGRADEUI_016	20% chance for Freeze Stack +1	20%機率冰凍層數 +1	20%の確率で凍結スタック +1
MLUA_SKILLUPGRADEUI_017	Bleed Damage +2%	流血傷害增加 2%	出血ダメージ 2%増加
MLUA_SKILLUPGRADEUI_018	Critical Rate +5%	爆擊率增加 5%	クリティカル率 5%増加
MLUA_SKILLUPGRADEUI_019	Critical Rate +4%	爆擊率 +4%	クリティカル率 +4%
MLUA_SKILLUPGRADEUI_020	Critical Rate +6%	爆擊率 +6%	クリティカル率 +6%
MLUA_SKILLUPGRADEUI_021	Bonus Damage per Freeze Stack +3%	每層冰凍的加成傷害 +3%	凍結スタックごとのボーナスダメージ +3%
MLUA_SKILLUPGRADEUI_022	Bonus Damage per Freeze Stack +6%	每層冰凍的加成傷害 +6%	凍結スタックごとのボーナスダメージ +6%
MLUA_SKILLUPGRADEUI_023	Bonus Damage per Freeze Stack +9%	每層冰凍的加成傷害 +9%	凍結スタックごとのボーナスダメージ +9%
MLUA_SKILLUPGRADEUI_024	All Skill Damage +2%	全部技能傷害增加 2%	全スキルダメージ 2%増加
MLUA_SKILLUPGRADEUI_025	All Skill Damage +4%	全部技能傷害增加 4%	全スキルダメージ 4%増加
MLUA_SKILLUPGRADEUI_026	All Skill Damage +6%	全部技能傷害增加 6%	全スキルダメージ 6%増加
MLUA_SKILLUPGRADEUI_027	2-hit chance +5%	2連擊機率 +5%	2連撃確率 +5%
MLUA_SKILLUPGRADEUI_028	10% chance for Freeze Stack +1	10%機率冰凍層數 +1	10%の確率で凍結スタック +1
MLUA_SKILLUPGRADEUI_029	10% chance for Freeze Stack +2	10%機率冰凍層數 +2	10%の確率で凍結スタック +2
MLUA_SKILLUPGRADEUI_030	Critical Rate +10% extra	額外爆擊率 10%	クリティカル率 10%追加
MLUA_SKILLUPGRADEUI_031	2-hit chance +10%	2連擊機率 +10%	2連撃確率 +10%
MLUA_SKILLUPGRADEUI_032	10% chance for Freeze Stack +3	10%機率冰凍層數 +3	10%の確率で凍結スタック +3
MLUA_SKILLUPGRADEUI_033	Extra hits +1	追加攻擊 +1	追加打撃 +1
MLUA_SKILLUPGRADEUI_034	Slow chance +10%	緩速機率 +10%	スロー確率 +10%
MLUA_SKILLUPGRADEUI_035	Bonus Damage to Slowed enemies +10%	對緩速敵人追加傷害 +10%	スロー状態の敵への追加ダメージ +10%
MLUA_SKILLUPGRADEUI_036	Duration +1s	持續時間 +1秒	持続時間 +1秒
MLUA_SKILLUPGRADEUI_037	Critical Rate +5%	爆擊率 +5%	クリティカル率 +5%
MLUA_SKILLUPGRADEUI_038	Collision Damage +15%	碰撞傷害 +15%	衝突ダメージ +15%
MLUA_SKILLUPGRADEUI_039	Cooldown -8%	冷卻時間減少 8%	クールタイム 8%減少
MLUA_SKILLUPGRADEUI_040	Stun time +1s	暈眩時間 +1秒	スタン時間 +1秒
MLUA_SKILLUPGRADEUI_041	Damage +15%	傷害增加 15%	ダメージ 15%増加
MLUA_SKILLUPGRADEUI_042	Extra hits +2	追加攻擊 +2	追加打撃 +2
MLUA_SKILLUPGRADEUI_043	Critical Rate +8%	爆擊率 +8%	クリティカル率 +8%
MLUA_SKILLUPGRADEUI_044	Cooldown -2%	冷卻時間減少 2%	クールタイム 2%減少
MLUA_SKILLUPGRADEUI_045	Cooldown -4%	冷卻時間減少 4%	クールタイム 4%減少
MLUA_SKILLUPGRADEUI_046	Cooldown -6%	冷卻時間減少 6%	クールタイム 6%減少
MLUA_SKILLUPGRADEUI_047	Critical Damage +3%	爆擊傷害 +3%	クリティカルダメージ +3%
MLUA_SKILLUPGRADEUI_048	Critical Damage +6%	爆擊傷害 +6%	クリティカルダメージ +6%
MLUA_SKILLUPGRADEUI_049	Critical Damage +9%	爆擊傷害 +9%	クリティカルダメージ +9%
MLUA_SKILLUPGRADEUI_050	Extra Attack chance +3%	追加攻擊機率 +3%	追加攻撃確率 +3%
MLUA_SKILLUPGRADEUI_051	Extra Attack chance +6%	追加攻擊機率 +6%	追加攻撃確率 +6%
MLUA_SKILLUPGRADEUI_052	Extra Attack chance +9%	追加攻擊機率 +9%	追加攻撃確率 +9%
MLUA_SKILLUPGRADEUI_053	Damage +2%	傷害增加 2%	与ダメージ 2%増加
MLUA_SKILLUPGRADEUI_054	Damage +4%	傷害增加 4%	与ダメージ 4%増加
MLUA_SKILLUPGRADEUI_055	Damage +6%	傷害增加 6%	与ダメージ 6%増加
MLUA_SKILLUPGRADEUI_056	Extra combo trigger chance +50%	追加連擊發動機率 +50%	追加コンボ発動確率 +50%
MLUA_SKILLUPGRADEUI_057	Collision Damage +20%	碰撞傷害增加 20%	衝突ダメージ 20%増加
MLUA_SKILLUPGRADEUI_058	Enhanced hit chance +10%	強化打擊機率 +10%	強化打撃確率 +10%
MLUA_SKILLUPGRADEUI_059	Summon Damage +10%	召喚獸傷害增加 10%	召喚獣ダメージ 10%増加
MLUA_SKILLUPGRADEUI_060	Stun duration +1s	暈眩持續時間 +1秒	スタン持続時間 +1秒
MLUA_SKILLUPGRADEUI_061	2nd hit Damage +10%	第2擊傷害 +10%	2撃目ダメージ +10%
MLUA_SKILLUPGRADEUI_062	Collision/Landing Damage +15%	碰撞·落地傷害增加 15%	衝突・着地ダメージ 15%増加
MLUA_SKILLUPGRADEUI_063	Combo Explosion Damage +15%	連擊爆炸傷害增加 15%	コンボ爆発ダメージ 15%増加
MLUA_SKILLUPGRADEUI_064	Sword Wave Damage +15%	劍氣傷害增加 15%	剣気ダメージ 15%増加
MLUA_SKILLUPGRADEUI_065	Summon Damage +15%	召喚獸傷害增加 15%	召喚獣ダメージ 15%増加
MLUA_SKILLUPGRADEUI_066	Combo trigger chance +3%	連擊發動機率 +3%	コンボ発動確率 +3%
MLUA_SKILLUPGRADEUI_067	Combo trigger chance +6%	連擊發動機率 +6%	コンボ発動確率 +6%
MLUA_SKILLUPGRADEUI_068	Combo trigger chance +9%	連擊發動機率 +9%	コンボ発動確率 +9%
MLUA_SKILLUPGRADEUI_069	Combo Explosion Damage +5%	連擊爆炸傷害 +5%	コンボ爆発ダメージ +5%
MLUA_SKILLUPGRADEUI_070	Combo Explosion Damage +10%	連擊爆炸傷害 +10%	コンボ爆発ダメージ +10%
MLUA_SKILLUPGRADEUI_071	Combo Explosion Damage +15%	連擊爆炸傷害 +15%	コンボ爆発ダメージ +15%
MLUA_SKILLUPGRADEUI_072	Duration +1s	持續時間 +1秒	持続時間 +1秒
MLUA_SKILLUPGRADEUI_073	Damage +5%	傷害增加 5%	ダメージ 5%増加
MLUA_SKILLUPGRADEUI_074	Duration +2s	持續時間 +2秒	持続時間 +2秒
MLUA_SKILLUPGRADEUI_075	Critical Rate +9%	爆擊率 +9%	クリティカル率 +9%
MLUA_SKILLUPGRADEUI_076	Evasion chance +4%	迴避機率 +4%	回避確率 +4%
MLUA_SKILLUPGRADEUI_077	Evasion chance +6%	迴避機率 +6%	回避確率 +6%
MLUA_TUTORIALGUIDEUI_001	Defeat the approaching monsters!⏎Touch a monster to attack it first.	擊敗逼近的怪物！⏎觸碰怪物即可優先攻擊該怪物。	迫ってくるモンスターを倒しましょう！⏎モンスターをタッチすると、そのモンスターを優先して攻撃します。
MLUA_TUTORIALGUIDEUI_002	Defeat monsters to level up!	擊敗怪物來提升等級吧！	モンスターを倒してレベルを上げましょう！
MLUA_TUTORIALGUIDEUI_003	Tap a card to learn a skill!	點擊卡片來學習技能吧！	カードを押してスキルを覚えましょう！
MLUA_TUTORIALGUIDEUI_004	Level up, combine different skills, and fight off the swarming monsters!⏎Don't miss the Easter Eggs hidden all over the map!	一邊升級一邊組合各種技能，擊退蜂擁而至的怪物吧！⏎也別錯過藏在地圖各處的彩蛋！	レベルアップしながら様々なスキルを組み合わせ、押し寄せるモンスターを撃退しましょう！⏎マップのあちこちに隠されたイースターエッグもお見逃しなく！
MLUA_TUTORIALGUIDEUI_005	Find the many Easter Eggs hidden all over the map!	尋找藏在地圖各處的各種彩蛋吧！	マップのあちこちに隠された様々なイースターエッグを探してみましょう！
MLUA_UICOMPOSEPOPUP_002	Quality S kept	維持品質 S	品質 S 維持
