MLUA_WEAPONTIERDATALOGIC_123	Ultimate Suit	究極套裝	アルティメットスーツ
MLUA_WEAPONTIERDATALOGIC_124	5s of invincibility when taking fatal damage (once per battle)	受到致命傷害時無敵5秒(每場戰鬥1次)	致命的なダメージを受けたとき5秒間無敵(戦闘ごとに1回)
MLUA_WEAPONTIERDATALOGIC_125	Knights' Uniform	騎士團制服	騎士団の制服
MLUA_WEAPONTIERDATALOGIC_126	10th Anniversary White Suit	10週年白色套裝	10周年ホワイトスーツ
MLUA_WEAPONTIERDATALOGIC_127	Maple Beryl Ricenne	楓葉綠柱石禮服	メイプルベリルリセンヌ
MLUA_WEAPONTIERDATALOGIC_128	Maple Platinum Ricenne	楓葉白金禮服	メイプルプラチナムリセンヌ
MLUA_WEAPONTIERDATALOGIC_129	{P}% chance to nullify damage when hit	受到攻擊時有 {P}% 機率使傷害無效	被弾時に{P}%の確率でダメージを無効化
MLUA_WEAPONTIERDATALOGIC_130	Maple Iolite Suit	楓葉堇青石套裝	メイプルアイオライトスーツ
MLUA_WEAPONTIERDATALOGIC_131	10th Anniversary Black Suit	10週年黑色套裝	10周年ブラックスーツ
MLUA_WEAPONTIERDATALOGIC_132	Instantly restore {P}% HP when HP drops to 20% or less (once per battle)	HP降至20%以下時立即恢復 {P}% HP(每場戰鬥1次)	HPが20%以下になると即座にHPを{P}%回復(戦闘ごとに1回)
MLUA_WEAPONTIERDATALOGIC_133	Newspaper Helmet	報紙頭盔	新聞紙のかぶと
MLUA_WEAPONTIERDATALOGIC_134	Bone Helm	骨製頭盔	ボーンヘルム
MLUA_WEAPONTIERDATALOGIC_135	ATK +{P}%	攻擊力 +{P}%	攻撃力 +{P}%
MLUA_WEAPONTIERDATALOGIC_136	Zakum Helmet	殘暴炎魔頭盔	ジャクムの兜
MLUA_WEAPONTIERDATALOGIC_137	All skill cooldowns -{P}% after defeating 50 monsters	擊敗50隻怪物後所有技能冷卻時間減少 {P}%	モンスターを50体倒すと全スキルのクールタイム {P}%減少
MLUA_WEAPONTIERDATALOGIC_138	Davy Jones's Hat	戴維瓊斯的帽子	デイヴィ・ジョーンズの帽子
MLUA_WEAPONTIERDATALOGIC_139	Tempest Feather Hat	暴風羽毛帽	テンペストの羽根帽子
MLUA_WEAPONTIERDATALOGIC_140	Using a skill increases your next Basic Attack's Damage by {P}% (10s)	使用技能時，下一次普通攻擊的傷害增加 {P}%(10秒)	スキル使用時、次の通常攻撃のダメージが{P}%増加(10秒)
MLUA_WEAPONTIERDATALOGIC_141	Vellum's Helm	貝倫的頭盔	ベルムのヘルム
MLUA_WEAPONTIERDATALOGIC_142	After using a skill, your next skill's Damage +{P}% (10s)	使用技能後，下一個技能的傷害增加 {P}%(10秒)	スキル使用後、次のスキルのダメージが{P}%増加(10秒)
MLUA_WEAPONTIERDATALOGIC_143	Work Gloves	工作手套	軍手
MLUA_WEAPONTIERDATALOGIC_144	Altair Gloves	牛郎星手套	アルタイルグローブ
MLUA_WEAPONTIERDATALOGIC_145	Basic Attack Damage +{P}%	普通攻擊傷害 +{P}%	通常攻撃ダメージ +{P}%
MLUA_WEAPONTIERDATALOGIC_146	Hard Leather Gloves	硬皮手套	ハードレザーグローブ
MLUA_WEAPONTIERDATALOGIC_147	Every 20 Basic Attacks, your next Basic Attack's Critical Rate +{P}% (5s)	每進行20次普通攻擊，下一次普通攻擊的爆擊率增加 {P}%(5秒)	通常攻撃20回ごとに、次の通常攻撃のクリティカル率が{P}%増加(5秒)
MLUA_WEAPONTIERDATALOGIC_148	Navy Captain's Gloves	海軍艦長的手套	海軍艦長の手袋
MLUA_WEAPONTIERDATALOGIC_149	Every 30 Basic Attacks, your next Basic Attack's Damage +{P}%	每進行30次普通攻擊，下一次普通攻擊的傷害增加 {P}%	通常攻撃30回ごとに、次の通常攻撃のダメージが{P}%増加
MLUA_WEAPONTIERDATALOGIC_150	Mu Gong's Gloves	武公的手套	武公の手袋
MLUA_WEAPONTIERDATALOGIC_151	Defeating an enemy with a Basic Attack increases your next Basic Attack's Damage by {P}%	以普通攻擊擊敗敵人時，下一次普通攻擊的傷害增加 {P}%	通常攻撃で敵を倒すと、次の通常攻撃のダメージが{P}%増加
MLUA_WEAPONTIERDATALOGIC_152	So Gong's Gloves	小公的手套	小公の手袋
MLUA_WEAPONTIERDATALOGIC_153	Every 10 Basic Attacks, triggers an Enhanced Attack (200% of Basic Attack Damage)	每進行10次普通攻擊發動強化攻擊(普通攻擊傷害的200%)	通常攻撃10回ごとに強化攻撃が発動(通常攻撃ダメージの200%)
MLUA_WEAPONTIERDATALOGIC_154	Shabby Cape	破舊的披風	みすぼらしいマント
MLUA_WEAPONTIERDATALOGIC_155	Cape of Serenity	溫和的披風	温和のマント
MLUA_WEAPONTIERDATALOGIC_156	Damage +{P}%	傷害 +{P}%	与ダメージ +{P}%
MLUA_WEAPONTIERDATALOGIC_157	Icarus Cape	伊卡洛斯披風	イカロスのマント
MLUA_WEAPONTIERDATALOGIC_158	Damage +{P}% for 10s after defeating 50 monsters	擊敗50隻怪物後傷害 +{P}%(10秒)	モンスターを50体倒すと与ダメージ +{P}%(10秒)
MLUA_WEAPONTIERDATALOGIC_159	Black Gaia Cape	黑色蓋亞披風	黒いガイアのマント
MLUA_WEAPONTIERDATALOGIC_160	Damage to Elite/Boss monsters +{P}%	對菁英/首領怪物造成的傷害 +{P}%	エリート/ボスモンスターへのダメージ +{P}%
MLUA_WEAPONTIERDATALOGIC_161	Red Seraph Cape	紅色熾天使披風	赤いセラフのマント
MLUA_WEAPONTIERDATALOGIC_162	HP +{P}%	體力 +{P}%	HP +{P}%
MLUA_WEAPONTIERDATALOGIC_163	Blue Giles Cape	藍色賈爾斯披風	青いジャイルズのマント
MLUA_WEAPONTIERDATALOGIC_164	%s%% chance on Basic Attack: %s	普通攻擊時有 %s%% 機率%s	通常攻撃時に%s%%の確率で%s
MLUA_WORLDCHARACTERSELECTUI_001	Arcana	阿爾卡納	アルカナ
MLUA_WORLDCHARACTERSELECTUI_002	A slightly clumsy mage who wields lightning and ice at will	能自由操控雷電與冰霜、有點迷糊的魔法師	雷と氷を自在に操る、ちょっと抜けた魔法使い
MLUA_WORLDCHARACTERSELECTUI_003	Obtain 250 pieces of equipment!	請獲得250件裝備！	装備を250個獲得しましょう！
MLUA_WORLDCHARACTERSELECTUI_004	Defeat 100,000 monsters of any kind!	請擊敗任意怪物100,000隻！	どんなモンスターでもいいので100,000体倒しましょう！
MLUA_WORLDCHARACTERSELECTUI_006	An archer who sweeps the battlefield with storm-charged arrows	以蘊含暴風的箭矢橫掃戰場的弓箭手	嵐をはらんだ矢で戦場を席巻する弓使い
MLUA_WORLDCHARACTERSELECTUI_007	Find and break the seal hidden in the Village of Beginnings!	找出並解除隱藏在起源之村的封印！	はじまりの村に隠された封印を見つけて解除しましょう！
MLUA_WORLDCHARACTERSELECTUI_008	A warrior who overwhelms enemies with a tough body and tremendous strength	以強健的體魄與驚人的力量壓制敵人的戰士	強靭な肉体と凄まじい力で敵を圧倒する戦士
MLUA_WORLDCHARACTERSELECTUI_009	Take 1st place in the Cloud Garden Colosseum!	在雲之庭園競技場奪得第一名！	雲の庭園のコロシアムで1位を獲得しましょう！
MLUA_WORLDCHARACTERSELECTUI_010	This character is coming soon.	準備中的角色。	準備中のキャラクターです。
MLUA_ZONE21ALIENEASTEREGGLOGIC_001	An alien invasion is underway!	外星人來襲了！	宇宙人の襲撃が起こります！
UI_ACHIEVEMENTGROUP_001	Claim All	全部領取	すべて受け取る
UI_ACHIEVEMENTGROUP_002	Achievements 0 / 50	成就達成 0 / 50	実績達成 0 / 50
UI_ACHIEVEMENTGROUP_003	Achievement Condition	成就條件	実績条件
UI_ACHIEVEMENTGROUP_004	Achievement Name	成就名稱	実績名
UI_CHARACTERUNLOCKGROUP_001	Obtain	獲得	獲得
UI_DEFAULTGROUP_001	Bonus Stage	獎勵關卡	ボーナスステージ
UI_DEFAULTGROUP_002	Cooldown: 0s	冷卻時間：0秒	クールタイム：0秒
UI_DEFAULTGROUP_003	Damage: 0	傷害：0	ダメージ：0
UI_DEFAULTGROUP_004	Card Name	卡片名稱	カード名
UI_DEFAULTGROUP_005	Total Damage	總傷害	総ダメージ
UI_DEFAULTGROUP_006	Until Hidden Map Escape	距離隱藏地圖脫出	隠しマップ脱出まで
UI_DEFAULTGROUP_007	2x EXP!	經驗值2倍！	経験値2倍！
UI_DEFAULTGROUP_008	Time Left	剩餘時間	残り時間
UI_EPISODEREWARDGROUP_001	Episode Rewards	章節獎勵	エピソード報酬
UI_EPISODEREWARDGROUP_002	EP1 ⏎Survive 5 min!	EP1 ⏎存活5分鐘！	EP1 ⏎5分間生存！
UI_EPISODEREWARDGROUP_003	EP1 ⏎Survive 10 min!	EP1 ⏎存活10分鐘！	EP1 ⏎10分間生存！
UI_EPISODEREWARDGROUP_004	EP1 ⏎Survive 15 min!	EP1 ⏎存活15分鐘！	EP1 ⏎15分間生存！
UI_EPISODEREWARDGROUP_005	EP2 ⏎Survive 5 min!	EP2 ⏎存活5分鐘！	EP2 ⏎5分間生存！
