UI_EPISODEREWARDGROUP_006	EP2 ⏎Survive 10 min!	EP2 ⏎存活10分鐘！	EP2 ⏎10分間生存！
UI_EPISODEREWARDGROUP_007	EP2 ⏎Survive 15 min!	EP2 ⏎存活15分鐘！	EP2 ⏎15分間生存！
UI_EPISODEREWARDGROUP_008	EP3 ⏎Survive 5 min!	EP3 ⏎存活5分鐘！	EP3 ⏎5分間生存！
UI_EPISODEREWARDGROUP_009	EP3 ⏎Survive 10 min!	EP3 ⏎存活10分鐘！	EP3 ⏎10分間生存！
UI_EPISODEREWARDGROUP_010	EP3 ⏎Survive 15 min!	EP3 ⏎存活15分鐘！	EP3 ⏎15分間生存！
UI_EQUIPMENTGROUP_001	Synthesize	合成	合成
UI_EQUIPMENTGROUP_002	Normal → Rare	普通 → 稀有	ノーマル → レア
UI_EQUIPMENTGROUP_003	Quality - Kept	品質 - 維持	品質 - 維持
UI_EQUIPMENTGROUP_004	Quality Upgrade Chance	品質晉升機率	品質昇格確率
UI_EQUIPMENTGROUP_005	Skill Added!	追加技能！	スキル追加！
UI_EQUIPMENTGROUP_006	Synthesis Result	合成結果	合成結果
UI_EQUIPMENTGROUP_007	All	全部	すべて
UI_EQUIPMENTGROUP_008	No	否	いいえ
UI_EQUIPMENTGROUP_009	Yes	是	はい
UI_EQUIPMENTGROUP_010	Higher-grade equipment will be consumed.⏎This can't be undone after synthesis.	高等級的裝備將會消失。⏎合成後無法復原。	高い等級の装備が消えます。⏎合成後は元に戻せません。
UI_EQUIPMENTGROUP_011	Are you sure you want to synthesize?	確定要合成嗎？	本当に合成しますか？
UI_EQUIPMENTGROUP_012	Equipment Synthesis	裝備合成	装備合成
UI_EQUIPMENTGROUP_013	Level Up All	一鍵升級	一括レベルアップ
UI_EQUIPMENTGROUP_014	Level Up	升級	レベルアップ
UI_EQUIPMENTGROUP_015	Lock	鎖定	ロック
UI_EQUIPMENTGROUP_016	Delete	刪除	削除
UI_EQUIPMENTGROUP_017	Item Description	道具說明	アイテム説明
UI_EQUIPMENTGROUP_018	(Unlocks upon reaching grade)	（達到等級時解鎖）	（等級到達時に解放）
UI_EQUIPMENTGROUP_019	Grade Skill	等級技能	等級スキル
UI_EQUIPMENTGROUP_020	Item Name	道具名稱	アイテム名
UI_EQUIPMENTGROUP_021	Nickname	暱稱	ニックネーム
UI_EQUIPMENTGROUP_022	Weapon Enhancement Scroll	武器強化卷軸	武器強化の書
UI_EQUIPMENTGROUP_023	OK	確認	OK
UI_EQUIPMENTGROUP_024	Enter text	請輸入內容	内容を入力してください
UI_GACHAGROUP_001	Close	關閉	閉じる
UI_GACHAGROUP_002	Item	道具	アイテム
UI_GACHAGROUP_003	Rate	機率	確率
UI_GACHAGROUP_004	Displayed rates are rounded in accordance with the Enforcement Decree of the Game Industry Promotion Act,⏎so the total may not add up to 100%.	公開的機率依據遊戲產業振興法施行令四捨五入，⏎合計結果可能不等於100%。	公開されている確率はゲーム産業振興法施行令に基づき四捨五入した値のため、⏎合計が100%にならない場合があります。
UI_GACHAGROUP_005	Drop Rate	獲得機率	獲得確率
UI_GACHAGROUP_006	Relic obtained!	獲得的遺物！	獲得した遺物！
UI_GACHAGROUP_007	Relic Draw	遺物抽取	遺物ガチャ
UI_GAMEOVERGROUP_001	500 Diamonds⏎100,000 Gold	鑽石 500⏎金幣 100,000	ダイヤ 500⏎ゴールド 100,000
UI_GAMEOVERGROUP_002	Purchased	購買完成	購入完了
UI_GAMEOVERGROUP_003	Diamond Shop	鑽石商店	ダイヤショップ
UI_GAMEOVERGROUP_004	Continue⏎Currency 900	繼續⏎貨幣 900	コンティニュー⏎通貨 900
UI_GAMEOVERGROUP_005	Retry	重新開始	リトライ
UI_GAMEOVERGROUP_006	Score	獲得分數	獲得スコア
UI_GAMEOVERGROUP_007	0 pts	0 分	0 点
UI_IDLEREWARDGROUP_001	Equipment inventory is full!	裝備背包已滿！	装備インベントリがいっぱいです！
UI_IDLEREWARDGROUP_002	Equipment without space will be lost.⏎Claim anyway?	沒有空位的裝備將會消失。⏎仍要領取嗎？	空きのない装備は消えます。⏎それでも受け取りますか？
UI_IDLEREWARDGROUP_003	(Max 24 hr)	(最多24小時)	(最大24時間)
UI_IDLEREWARDGROUP_004	1 equipment item is stored every 2 hr	每2小時累積1件裝備	装備は2時間ごとに1個ずつ貯まります
UI_IDLEREWARDGROUP_005	Idle time: 00m 00s	自動時間：00分 00秒	放置時間：00分 00秒
UI_IDLEREWARDGROUP_006	Idle Rewards	放置獎勵	放置報酬
UI_LEVELREWARDGROUP_001	Level 5 Reward	等級 5 獎勵	レベル5報酬
UI_LOADINGGROUP_001	This world includes content created with the help of generative AI.	本世界包含使用生成式AI製作的內容。	本ワールドには、生成AIを活用して制作されたコンテンツが含まれています。
UI_OPTIONGROUP_001	Are you sure you want to quit the game?	確定要結束遊戲嗎？	本当にゲームを終了しますか？
UI_OPTIONGROUP_002	This run will end here.	本場遊戲將在此結束。	今回のプレイはここで終了します。
UI_OPTIONGROUP_003	Fusion Recipes	組合表	組み合わせ表
UI_OPTIONGROUP_004	BGM	背景音樂	BGM
UI_OPTIONGROUP_005	Fusion	組合	組み合わせ
UI_OPTIONGROUP_006	Quit Game	結束遊戲	ゲーム終了
UI_OPTIONGROUP_007	How to Play	遊戲玩法	遊び方
UI_OPTIONGROUP_008	Sound Effects	音效	効果音
UI_OPTIONGROUP_009	Options	選項	オプション
UI_POPUPGROUP_001	Popup Message	彈出訊息	ポップアップメッセージ
UI_RAIDGROUP_001	Claim Reward	領取獎勵	報酬を受け取る
UI_RAIDGROUP_002	Character DPS (per sec)	角色火力(每秒)	キャラクター火力(毎秒)
UI_RAIDGROUP_003	Claim your reward to start the new season	領取獎勵後才會開始新賽季	報酬を受け取ると新しいシーズンが始まります
UI_RAIDGROUP_004	Last season's raid has ended	上賽季突襲已結束	前シーズンのレイド終了
UI_RAIDGROUP_005	Revive!	復活！	復活！
UI_RAIDGROUP_006	You were away for over 24 hours,⏎so your characters became ghosts	離開超過24小時，⏎角色們變成了幽靈	24時間以上離れていたため、⏎キャラクターが幽霊になりました
UI_RAIDGROUP_007	Time Left	剩餘時間	残り時間
UI_RELICUPGRADEGROUP_001	Relic Name	遺物名稱	遺物名
UI_RELICUPGRADEGROUP_002	Option Description	選項說明	オプション説明
