UI_RELICUPGRADEGROUP_003	10000 Coins	10000金幣	10000コイン
UI_RELICUPGRADEGROUP_004	Upgrade	升級	アップグレード
UI_RUNSTARTCONFIRMGROUP_001	Start	開始	スタート
UI_RUNSTARTCONFIRMGROUP_002	Weapon inventory is full!	武器背包已滿！	武器インベントリがいっぱいです！
UI_SHADOWSHOPGROUP_001	Buy	購買	購入
UI_SHADOWSHOPGROUP_002	Shadow Essence	暗影精髓	影のエッセンス
UI_SHADOWSHOPGROUP_003	Remaining: 0	剩餘數量：0	残り数量：0
UI_SHADOWSHOPGROUP_004	Secret Shop	秘密商店	秘密のショップ
UI_TITLEGROUP_001	Start Game	開始遊戲	ゲームスタート
UI_TITLEGROUP_002	Playing Normal Game automatically⏎launches raid attacks!	進行一般遊戲時，會自動⏎進行突襲攻擊！	通常ゲームをプレイすると自動で⏎レイド攻撃が行われます！
UI_TITLEGROUP_003	The more you play Normal Game,⏎the higher your raid damage!	一般遊戲玩得越多，⏎突襲傷害就越高！	通常ゲームをプレイするほど⏎レイドダメージが高くなります！
UI_TITLEGROUP_004	If you don't log in for 24 hours, your characters⏎may die, so be careful!	超過24小時未登入，角色⏎可能會死亡，請注意！	24時間ログインしないとキャラクターが⏎死ぬことがあるので注意してください！
UI_TITLEGROUP_005	Reach a high grade to earn special⏎rewards!	達成高等級並獲得特別的⏎獎勵！	高い等級を達成して特別な⏎報酬を獲得しましょう！
UI_TITLEGROUP_006	No records yet	尚無登錄的紀錄	まだ登録された記録がありません
UI_TITLEGROUP_007	Name	名稱	名前
UI_TITLEGROUP_008	Rank	排名	順位
UI_TITLEGROUP_009	Score	分數	スコア
UI_TITLEGROUP_010	My Rank	我的排名	自分の順位
UI_TITLEGROUP_011	Ranking (Coming Soon)	排行榜(準備中)	ランキング(準備中)
UI_TITLEGROUP_012	Time Attack Ranking	計時挑戰排行榜	タイムアタックランキング
UI_TITLEGROUP_013	Unlimited Ranking	無限模式排行榜	無制限ランキング
UI_TITLEGROUP_014	Ranking	排行榜	ランキング
UI_TITLEGROUP_015	Relics (Coming Soon)	遺物(準備中)	遺物(準備中)
UI_TITLEGROUP_016	Damage Skins	傷害字型	ダメージスキン
UI_TITLEGROUP_017	Shop	商店	ショップ
UI_TITLEGROUP_018	Character ▼	角色 ▼	キャラクター ▼
UI_TITLEGROUP_019	Grade ▼	等級 ▼	等級 ▼
UI_TITLEGROUP_020	Skill 1	技能 1	スキル 1
UI_TITLEGROUP_021	Skill 2	技能 2	スキル 2
UI_TITLEGROUP_022	Skill 11	技能 11	スキル 11
UI_TITLEGROUP_023	Skill 12	技能 12	スキル 12
UI_TITLEGROUP_024	Skill 13	技能 13	スキル 13
UI_TITLEGROUP_025	Skill 14	技能 14	スキル 14
UI_TITLEGROUP_026	Skill 15	技能 15	スキル 15
UI_TITLEGROUP_027	Skill 16	技能 16	スキル 16
UI_TITLEGROUP_028	Skill 17	技能 17	スキル 17
UI_TITLEGROUP_029	Skill 18	技能 18	スキル 18
UI_TITLEGROUP_030	Skill 3	技能 3	スキル 3
UI_TITLEGROUP_031	Skill 4	技能 4	スキル 4
UI_TITLEGROUP_032	Skill 5	技能 5	スキル 5
UI_TITLEGROUP_033	Skill 6	技能 6	スキル 6
UI_TITLEGROUP_034	Skill 7	技能 7	スキル 7
UI_TITLEGROUP_035	Skill 8	技能 8	スキル 8
UI_TITLEGROUP_036	Skill 9	技能 9	スキル 9
UI_TITLEGROUP_037	Skill 10	技能 10	スキル 10
UI_TITLEGROUP_038	Battle	戰鬥	バトル
UI_WORLDCHARACTERSELECTGROUP_001	A mage with crowd control	擁有控場技能的魔法師	CCスキルを持つ魔法使い
UI_WORLDCHARACTERSELECTGROUP_002	Ice/Lightning Mage	冰雷魔法師	氷雷の魔法使い
UI_WORLDCHARACTERSELECTGROUP_003	Coming Soon	準備中	準備中
UI_WORLDCHARACTERSELECTGROUP_004	Unlimited Mode	無限模式	無制限モード
UI_WORLDCHARACTERSELECTGROUP_005	Unlocks after surviving 10 min in the Village of Beginnings	在起源之村存活10分鐘後開放	はじまりの村で10分間生存すると解放
