Key,한국어원문,위치(Note),en,zh-TW,ja
FMT_ACHIEVEMENTUI_001,업적 {0} / {1},RootDesk/MyDesk/Achievement/AchievementUI.mlua:184,Achievement {0} / {1},成就 {0} / {1},実績 {0} / {1}
FMT_ATTENDANCELOGIC_001,{0}개,RootDesk/MyDesk/Attendance/AttendanceLogic.mlua,{0},{0},{0}
FMT_CARDMANAGER_001,{0} (+{1}강화),RootDesk/MyDesk/Card/CardManager.mlua:18337,{0} (+{1}Upgrade),{0} (+{1}強化),{0} (+{1}強化)
FMT_CARDMANAGER_002,콜드 빔 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18339,Cold Beam Lv.{0},寒冰光束 Lv.{0},コールドビーム Lv.{0}
FMT_CARDMANAGER_003,썬더 볼트 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18341,Thunder Bolt Lv.{0},雷電術 Lv.{0},サンダーボルト Lv.{0}
FMT_CARDMANAGER_004,매직 부스터 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18343,Magic Booster Lv.{0},魔法增幅 Lv.{0},マジックブースター Lv.{0}
FMT_CARDMANAGER_005,매직 크리티컬 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18344,Magic Critical Lv.{0},魔法暴擊 Lv.{0},マジッククリティカル Lv.{0}
FMT_CARDMANAGER_006,대미지 : {0},RootDesk/MyDesk/Card/CardManager.mlua:18391,Damage : {0},傷害 : {0},ダメージ : {0}
FMT_CARDMANAGER_007,쿨타임 -{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18396,Cooldown -{0}%  (Permanent),冷卻時間 -{0}%  (永久),クールタイム -{0}%  (永続)
FMT_CARDMANAGER_008,크리티컬 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18398,Critical {0}%  (Permanent),暴擊 {0}%  (永久),クリティカル {0}%  (永続)
FMT_CARDMANAGER_009,아이스 보너스 : +{0}%/스택,RootDesk/MyDesk/Card/CardManager.mlua:18405,Ice Bonus : +{0}%/Stack,冰 加成 : +{0}%/層數,アイス ボーナス : +{0}%/スタック
FMT_CARDMANAGER_010,피해 감소 : -{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18425,Damage Reduction : -{0}%  (Permanent),傷害 減少 : -{0}%  (永久),ダメージ 減少 : -{0}%  (永続)
FMT_CARDMANAGER_011,대미지 증가 : +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18433,Damage Increase : +{0}%  (Permanent),傷害 增加 : +{0}%  (永久),ダメージ 増加 : +{0}%  (永続)
FMT_CARDMANAGER_012,대미지 : {0}  (타격당),RootDesk/MyDesk/Card/CardManager.mlua:18447,Damage : {0}  (per hit),傷害 : {0}  (每次命中),ダメージ : {0}  (1ヒットあたり)
FMT_CARDMANAGER_013,크리티컬 대미지 +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18475,Critical Damage +{0}%  (Permanent),暴擊 傷害 +{0}%  (永久),クリティカル ダメージ +{0}%  (永続)
FMT_CARDMANAGER_014,추가 공격 확률 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18477,Additional Attack Chance {0}%  (Permanent),追加攻擊 機率 {0}%  (永久),追加攻撃 確率 {0}%  (永続)
FMT_CARDMANAGER_015,스택 확률 : {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18481,Stack Chance : {0}%  (Permanent),層數 機率 : {0}%  (永久),スタック 確率 : {0}%  (永続)
FMT_CARDMANAGER_016,강화 코마 대미지 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18503,Enhanced Koma Damage {0}%  (Permanent),強化 Koma 傷害 {0}%  (永久),強化 コマ ダメージ {0}%  (永続)
FMT_CARDMANAGER_017,{0}초마다 체력 {1}% 회복  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18505,{0}severy HP {1}% Restore  (Permanent),{0}秒每 生命值 {1}% 恢復  (永久),{0}秒ごとに HP {1}% 回復  (永続)
FMT_CARDMANAGER_018,피해량 증가 : +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18507,Damage Increase : +{0}%  (Permanent),傷害 增加 : +{0}%  (永久),ダメージ 増加 : +{0}%  (永続)
FMT_CARDMANAGER_019,공격 회피 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18517,Attack Evasion {0}%  (Permanent),攻擊 閃避 {0}%  (永久),攻撃 回避 {0}%  (永続)
FMT_CARDMANAGER_020,추가 공격 {0}% (대미지 {1}%)  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18529,Additional Attack {0}% (Damage {1}%)  (Permanent),追加攻擊 {0}% (傷害 {1}%)  (永久),追加攻撃 {0}% (ダメージ {1}%)  (永続)
FMT_CARDMANAGER_021,대미지 : {0}  (초당)  |  추가 대미지 : {1},RootDesk/MyDesk/Card/CardManager.mlua:18553,Damage : {0}  (per second)  |  Additional Damage : {1},傷害 : {0}  (每秒)  |  額外 傷害 : {1},ダメージ : {0}  (毎秒)  |  追加 ダメージ : {1}
FMT_CARDMANAGER_022,대미지 : {0}  (메소 1개당),RootDesk/MyDesk/Card/CardManager.mlua:18560,Damage : {0}  (Meso 1per),傷害 : {0}  (楓幣 1每個),ダメージ : {0}  (メル 11個あたり)
FMT_CARDMANAGER_023,스킬 복사 {0}%  |  기본공격 복사 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18562,Skill Copy {0}%  |  Basic Attack Copy {1}%,技能複製 {0}%  |  普通攻擊 複製 {1}%,スキルコピー {0}%  |  通常攻撃 コピー {1}%
FMT_CARDMANAGER_024,대미지 : {0}  (초당 틱),RootDesk/MyDesk/Card/CardManager.mlua:18566,Damage : {0}  (per tick),傷害 : {0}  (每秒 跳),ダメージ : {0}  (毎秒 ティック)
FMT_CARDMANAGER_025,대미지 : {0}  (초당),RootDesk/MyDesk/Card/CardManager.mlua:18573,Damage : {0}  (per second),傷害 : {0}  (每秒),ダメージ : {0}  (毎秒)
FMT_CARDMANAGER_026,쿨타임 : {0}s,RootDesk/MyDesk/Card/CardManager.mlua:18598,Cooldown : {0}s,冷卻時間 : {0}s,クールタイム : {0}s
FMT_CARDMANAGER_027,타겟 : {0}명,RootDesk/MyDesk/Card/CardManager.mlua:18613,Targets : {0} targets,目標 : {0}個目標,ターゲット : {0}体
FMT_CARDMANAGER_028,타겟 : {0}명  |  슬로우 3s,RootDesk/MyDesk/Card/CardManager.mlua:18615,Targets : {0} targets  |  Slow 3s,目標 : {0}個目標  |  緩速 3s,ターゲット : {0}体  |  スロー 3s
FMT_CARDMANAGER_029,타겟 {0}명  |  스턴 {1}% {2}초(보스/엘리트 {3}초),RootDesk/MyDesk/Card/CardManager.mlua:18621,Targets {0} targets  |  Stun {1}% {2}s(Boss/Elite {3}s),目標 {0}個目標  |  暈眩 {1}% {2}秒(首領/菁英 {3}秒),ターゲット {0}体  |  スタン {1}% {2}秒(ボス/エリート {3}秒)
