UI_TITLEGROUP_001	게임 시작
UI_TITLEGROUP_002	일반 게임을 진행하면 자동으로
레이드 공격이 진행됩니다!
UI_TITLEGROUP_003	일반 게임을 플레이할수록
레이드 대미지가 높아집니다!
UI_TITLEGROUP_004	24시간 미접속 시 캐릭터가
죽을 수 있으니 주의하세요!
UI_TITLEGROUP_005	높은 등급을 달성하고 특별한
보상을 획득하세요!
MLUA_RAIDTUTORIALUI_001	레이드가 생성되었습니다!
UI_TITLEGROUP_006	아직 등록된 기록이 없어요
UI_TITLEGROUP_007	이름
UI_TITLEGROUP_008	순위
UI_TITLEGROUP_009	점수
UI_TITLEGROUP_010	내 순위
UI_TITLEGROUP_011	랭킹 (준비중)
UI_TITLEGROUP_012	타임어택 랭킹
UI_TITLEGROUP_013	무제한 랭킹
UI_TITLEGROUP_014	랭킹
UI_TITLEGROUP_015	유물 (준비중)
MLUA_RELICINVENTORY_001	시그너스의 손수건
MLUA_RELICINVENTORY_002	만년설화
MLUA_RELICINVENTORY_011	수리검
MLUA_RELICINVENTORY_012	낡은 피아노
MLUA_RELICINVENTORY_013	무닌
MLUA_RELICINVENTORY_014	자수정
MLUA_RELICINVENTORY_015	소행성
MLUA_RELICINVENTORY_016	팬더 허수아비
MLUA_RELICINVENTORY_017	복주머니
MLUA_RELICINVENTORY_018	검은 방패
MLUA_RELICINVENTORY_003	시몬수의자
MLUA_RELICINVENTORY_004	룬
MLUA_RELICINVENTORY_005	봉인된 오브
MLUA_RELICINVENTORY_006	지혜의 항아리
MLUA_RELICINVENTORY_007	에오스의 돌
MLUA_RELICINVENTORY_008	황금 카드
MLUA_RELICINVENTORY_009	성배
MLUA_RELICINVENTORY_010	힘의 마법석
MLUA_GACHAUI_004	유물
MLUA_SHOPPURCHASELOGIC_004	1회 한정
UI_GAMEOVERGROUP_001	다이아 500
골드 100,000
MLUA_SHOPPURCHASELOGIC_001	스타터 패키지
UI_GAMEOVERGROUP_002	구매 완료
MLUA_SHOPPURCHASELOGIC_005	다이아 300
MLUA_SHOPPURCHASELOGIC_007	다이아 600
MLUA_SHOPPURCHASELOGIC_010	보너스 100 포함
MLUA_SHOPPURCHASELOGIC_009	다이아 1,300
MLUA_SHOPPURCHASELOGIC_013	보너스 300 포함
MLUA_SHOPPURCHASELOGIC_012	다이아 2,800
MLUA_SHOPPURCHASELOGIC_016	보너스 1,100 포함
MLUA_SHOPPURCHASELOGIC_015	다이아 6,500
MLUA_LEVELREWARDLOGIC_002	다이아
UI_TITLEGROUP_016	대미지 스킨
UI_TITLEGROUP_017	상점
UI_TITLEGROUP_018	캐릭터 ▼
UI_EQUIPMENTGROUP_007	전체
MLUA_WORLDCHARACTERSELECTUI_001	아르카나
MLUA_EP2MAP2ARENALOGIC_006	레이온
MLUA_CHARACTERUNLOCKLOGIC_003	린
MLUA_CHARACTERUNLOCKLOGIC_001	쉐이드
MLUA_MAP21RELICEASTEREGG_001	실피드
UI_TITLEGROUP_019	등급 ▼
MLUA_GACHAUI_011	매직
MLUA_GACHAUI_012	일반
MLUA_GACHAUI_010	레어
UI_TITLEGROUP_020	스킬 1
UI_TITLEGROUP_021	스킬 2
UI_TITLEGROUP_022	스킬 11
MLUA_CARDREGISTRY_023	워리어 마스터리
UI_TITLEGROUP_023	스킬 12
UI_TITLEGROUP_024	스킬 13
UI_TITLEGROUP_025	스킬 14
UI_TITLEGROUP_026	스킬 15
UI_TITLEGROUP_027	스킬 16
UI_TITLEGROUP_028	스킬 17
UI_TITLEGROUP_029	스킬 18
MLUA_GACHAUI_003	스킬
UI_TITLEGROUP_030	스킬 3
MLUA_CARDMANAGER_039	바람의 시
MLUA_CARDMANAGER_041	애로우 블로우
MLUA_CARDMANAGER_043	아이스 퀴버
MLUA_CARDMANAGER_044	파이어 퀴버
MLUA_CARDMANAGER_046	피닉스
MLUA_CARDMANAGER_048	리트리트 샷
MLUA_CARDMANAGER_050	언카운터 에로우
MLUA_CARDMANAGER_052	플레시 미라주
MLUA_SKILLINVENTORY_002	에로우 일루전
MLUA_CARDMANAGER_047	이볼브
UI_TITLEGROUP_031	스킬 4
MLUA_CARDMANAGER_040	폭풍의 시
MLUA_CARDMANAGER_042	강화 애로우 블로우
MLUA_CARDMANAGER_049	에로우 플레터
MLUA_CARDMANAGER_051	언카운트에로우V
MLUA_CARDMANAGER_053	플레시 봄버
MLUA_CARDMANAGER_054	보우 액셀레이션
MLUA_CARDMANAGER_055	꿰뚫는 의지
MLUA_CARDMANAGER_056	크리티컬 샷
MLUA_CARDMANAGER_057	파이널 어택 : 활
MLUA_CARDMANAGER_058	연속 사격
UI_TITLEGROUP_032	스킬 5
MLUA_CARDREGISTRY_003	슬래시
MLUA_CARDREGISTRY_005	브랜디쉬
MLUA_CARDREGISTRY_006	플래시 슬래시
MLUA_CARDREGISTRY_008	돌진
MLUA_CARDREGISTRY_010	오라 블레이드
MLUA_CARDREGISTRY_011	레이징 블로우
MLUA_CARDREGISTRY_013	리프 어택
MLUA_CARDMANAGER_038	스카링 소드
MLUA_CARDREGISTRY_016	브레이브 슬래시
MLUA_CARDREGISTRY_024	스피릿 블레이드
UI_TITLEGROUP_033	스킬 6
MLUA_CARDREGISTRY_025	버닝 러시
MLUA_CARDREGISTRY_027	슬래시 스톰
MLUA_CARDREGISTRY_028	솔라 블레이드
MLUA_CARDREGISTRY_029	스카링 블레이드
MLUA_CARDREGISTRY_030	퓨리어스 블로우
MLUA_CARDREGISTRY_001	콤보 어택
MLUA_CARDREGISTRY_018	찬스 어택
MLUA_CARDREGISTRY_019	코마
MLUA_CARDREGISTRY_021	셀프 리커버리
UI_TITLEGROUP_034	스킬 7
UI_TITLEGROUP_035	스킬 8
UI_TITLEGROUP_036	스킬 9
UI_TITLEGROUP_037	스킬 10
UI_TITLEGROUP_038	전투
UI_GAMEOVERGROUP_003	다이아 상점
UI_GAMEOVERGROUP_004	이어하기
재화 900
MLUA_GAMEOVERUI_002	이어하기
UI_GAMEOVERGROUP_005	다시하기
UI_GAMEOVERGROUP_006	획득 스코어
UI_GAMEOVERGROUP_007	0 점
MLUA_UIUSEPOPUP_004	취소
UI_EQUIPMENTGROUP_023	확인
UI_POPUPGROUP_001	팝업 메시지
UI_DEFAULTGROUP_001	보너스 스테이지
UI_DEFAULTGROUP_002	쿨타임 : 0s
UI_DEFAULTGROUP_003	데미지 : 0
UI_DEFAULTGROUP_004	카드 이름
UI_DEFAULTGROUP_005	총 대미지
MLUA_INVENTORYEXPANDLOGIC_001	기타
MLUA_DPSMETERUI_001	DPS 접기
UI_DEFAULTGROUP_006	히든맵 탈출까지
UI_DEFAULTGROUP_007	경험치 2배!
UI_DEFAULTGROUP_008	남은 시간
UI_EQUIPMENTGROUP_001	합성
UI_EQUIPMENTGROUP_002	노말 → 레어
UI_EQUIPMENTGROUP_003	품질 - 유지
UI_EQUIPMENTGROUP_004	품질 승급 확률
UI_EQUIPMENTGROUP_005	스킬 추가!
UI_EQUIPMENTGROUP_006	합성 결과
UI_EQUIPMENTGROUP_008	아니오
UI_EQUIPMENTGROUP_009	예
UI_EQUIPMENTGROUP_010	높은 등급의 장비가 사라집니다.
합성 후에는 되돌릴 수 없습니다.
UI_EQUIPMENTGROUP_011	정말 합성하시겠습니까?
UI_EQUIPMENTGROUP_012	장비 합성
UI_EQUIPMENTGROUP_013	일괄 레벨업
MLUA_UIEQUIPPOPUP_002	장착 해제
UI_EQUIPMENTGROUP_014	레벨업
UI_EQUIPMENTGROUP_015	잠금
UI_EQUIPMENTGROUP_016	삭제
MLUA_UIINVENTORY_002	판매
UI_EQUIPMENTGROUP_017	아이템 설명
UI_EQUIPMENTGROUP_018	（등급 도달 시 해금）
UI_EQUIPMENTGROUP_019	등급 스킬
UI_EQUIPMENTGROUP_020	아이템 이름
MLUA_UIEQUIPPEDGEARPANEL_003	캐시 아이템
UI_EQUIPMENTGROUP_021	닉네임
UI_EQUIPMENTGROUP_022	무기 강화 주문서
MLUA_INVENTORYEXPANDLOGIC_002	인벤토리
MLUA_UIINVENTORY_003	정말 판매하시겠습니까?
UI_EQUIPMENTGROUP_024	내용을 입력하세요
UI_ACHIEVEMENTGROUP_001	모두 받기
UI_ACHIEVEMENTGROUP_002	업적 달성 0 / 50
MLUA_EPISODEREWARDUI_003	받기
UI_ACHIEVEMENTGROUP_003	업적 조건
MLUA_ATTENDANCEUI_001	완료
UI_ACHIEVEMENTGROUP_004	업적 이름
UI_OPTIONGROUP_001	정말 게임을 종료할까요?
UI_OPTIONGROUP_002	이번 판이 여기서 끝납니다.
UI_OPTIONGROUP_003	조합식
UI_OPTIONGROUP_004	배경음
UI_OPTIONGROUP_005	조합
UI_OPTIONGROUP_006	게임 종료
UI_OPTIONGROUP_007	게임 방법
UI_OPTIONGROUP_008	효과음
UI_OPTIONGROUP_009	옵션
UI_RUNSTARTCONFIRMGROUP_001	시작
UI_RUNSTARTCONFIRMGROUP_002	무기 인벤토리가 가득 찼어요!
MLUA_RUNSTARTCONFIRMUI_002	자리가 없는 아이템은 사라져요.
그래도 시작할까요?
