신규(한국어는OK),Key,출처,UI파일,엔티티,칸(WxH),글자,ko,en,ja,zh-TW,ko원문,en,ja,zh-TW
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line1/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line2/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line3/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line4/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line5/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line6/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,MLUA_INVENTORYEXPANDLOGIC_001,ui,DefaultGroup.ui,/ui/DefaultGroup/DpsMeter/Board/Line7/EtcLabel,40x28,BestFit 10-17,OK,OK,축소 76%,OK,기타,Etc,その他,其他
,UI_EQUIPMENTGROUP_013,ui,EquipmentGroup.ui,/ui/EquipmentGroup/Inventory/EquipPopup/Panel/ButtonBatchLevelUp/Label,260x60,BestFit 22-45,OK,OK,축소 93%,OK,일괄 레벨업,Level Up All,一括Lvアップ,一鍵升級
,UI_EQUIPMENTGROUP_015,ui,EquipmentGroup.ui,/ui/EquipmentGroup/Inventory/EquipPopup/Panel/ButtonLock/TextLock,60x30,BestFit 12-25,OK,OK,축소 80%,OK,잠금,Lock,ロック,鎖定
,UI_EQUIPMENTGROUP_022,ui,EquipmentGroup.ui,/ui/EquipmentGroup/Inventory/Panel/ItemNameTooltip/Label,260x60,BestFit 13-26,OK,축소 92%,OK,OK,무기 강화 주문서,Weapon Enhancement Scroll,武器強化の書,武器強化卷軸
,MLUA_SHOPPURCHASELOGIC_001,ui,GameOverGroup.ui,/ui/GameOverGroup/DiaShop/Panel/ScrollArea/List/ProductCard_0/NameText,345x69,BestFit 22-44,OK,OK,축소 98%,OK,스타터 패키지,Starter Package,スターターパック,新手禮包
,UI_TITLEGROUP_014,ui,TitleGroup.ui,/ui/TitleGroup/RankPanel/Title,227x82,BestFit 32-65,OK,OK,축소 69%,OK,랭킹,Ranking,ランキング,排行榜
,MLUA_RELICINVENTORY_001,ui,TitleGroup.ui,/ui/TitleGroup/RelicPanel/ScrollArea/List/RelicSlot_0/Name,212x26,BestFit 10-21,OK,축소 95%,OK,OK,시그너스의 손수건,Cygnus's Handkerchief,シグナスのハンカチ,西格諾斯的手帕
,MLUA_RELICINVENTORY_002,ui,TitleGroup.ui,/ui/TitleGroup/RelicPanel/ScrollArea/List/RelicSlot_1/Name,212x26,BestFit 10-21,OK,축소 90%,OK,OK,만년설화,Everlasting Snowflower,万年雪の花,萬年雪花
,MLUA_SHOPPURCHASELOGIC_001,ui,TitleGroup.ui,/ui/TitleGroup/ShopPanel/ScrollArea/List/ProductCard_0/NameText,345x69,BestFit 22-44,OK,OK,축소 98%,OK,스타터 패키지,Starter Package,スターターパック,新手禮包
,UI_TITLEGROUP_017,ui,TitleGroup.ui,/ui/TitleGroup/ShopPanel/Title,227x82,BestFit 32-65,OK,OK,축소 86%,OK,상점,Shop,ショップ,商店
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_100/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_101/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDMANAGER_050,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_26/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,언카운터 에로우,Uncountable Arrow,アンカウンタブルアロー,無盡之箭
,MLUA_CARDMANAGER_051,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_33/Name,212x26,BestFit 10-21,OK,OK,축소 86%,OK,언카운트에로우V,Uncountable Arrow V,アンカウンタブルアローV,無盡之箭V
,MLUA_CARDMANAGER_054,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_35/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,보우 액셀레이션,Bow Acceleration,ボウアクセラレーション,弓術加速
,MLUA_CARDMANAGER_057,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_38/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,파이널 어택 : 활,Final Attack: Bow,ファイナルアタック：弓,終極攻擊：弓
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_59/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_60/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_61/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_62/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_63/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_64/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_65/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_66/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_67/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_68/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_69/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_70/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_71/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_72/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_73/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_74/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_75/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_76/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_77/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_78/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_79/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_80/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_81/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_82/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_83/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_84/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_85/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_86/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_87/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_88/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_89/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_90/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_91/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_92/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_93/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_94/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_95/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_96/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_97/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_98/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
,MLUA_CARDREGISTRY_023,ui,TitleGroup.ui,/ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_99/Name,212x26,BestFit 10-21,OK,OK,축소 90%,OK,워리어 마스터리,Warrior Mastery,ウォーリアーマスタリー,戰士精通
