Key,한국어원문,위치(Note),en,zh-TW,ja
FMT_ACHIEVEMENTUI_001,업적 {0} / {1},RootDesk/MyDesk/Achievement/AchievementUI.mlua:184,,,
FMT_ATTENDANCELOGIC_001,{0}개,RootDesk/MyDesk/Attendance/AttendanceLogic.mlua,,,
FMT_CARDMANAGER_001,{0} (+{1}강화),RootDesk/MyDesk/Card/CardManager.mlua:18337,,,
FMT_CARDMANAGER_002,콜드 빔 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18339,,,
FMT_CARDMANAGER_003,썬더 볼트 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18341,,,
FMT_CARDMANAGER_004,매직 부스터 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18343,,,
FMT_CARDMANAGER_005,매직 크리티컬 Lv.{0},RootDesk/MyDesk/Card/CardManager.mlua:18344,,,
FMT_CARDMANAGER_006,대미지 : {0},RootDesk/MyDesk/Card/CardManager.mlua:18391,,,
FMT_CARDMANAGER_007,쿨타임 -{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18396,,,
FMT_CARDMANAGER_008,크리티컬 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18398,,,
FMT_CARDMANAGER_009,아이스 보너스 : +{0}%/스택,RootDesk/MyDesk/Card/CardManager.mlua:18405,,,
FMT_CARDMANAGER_010,피해 감소 : -{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18425,,,
FMT_CARDMANAGER_011,대미지 증가 : +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18433,,,
FMT_CARDMANAGER_012,대미지 : {0}  (타격당),RootDesk/MyDesk/Card/CardManager.mlua:18447,,,
FMT_CARDMANAGER_013,크리티컬 대미지 +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18475,,,
FMT_CARDMANAGER_014,추가 공격 확률 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18477,,,
FMT_CARDMANAGER_015,스택 확률 : {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18481,,,
FMT_CARDMANAGER_016,강화 코마 대미지 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18503,,,
FMT_CARDMANAGER_017,{0}초마다 체력 {1}% 회복  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18505,,,
FMT_CARDMANAGER_018,피해량 증가 : +{0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18507,,,
FMT_CARDMANAGER_019,공격 회피 {0}%  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18517,,,
FMT_CARDMANAGER_020,추가 공격 {0}% (대미지 {1}%)  (영구),RootDesk/MyDesk/Card/CardManager.mlua:18529,,,
FMT_CARDMANAGER_021,대미지 : {0}  (초당)  |  추가 대미지 : {1},RootDesk/MyDesk/Card/CardManager.mlua:18553,,,
FMT_CARDMANAGER_022,대미지 : {0}  (메소 1개당),RootDesk/MyDesk/Card/CardManager.mlua:18560,,,
FMT_CARDMANAGER_023,스킬 복사 {0}%  |  기본공격 복사 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18562,,,
FMT_CARDMANAGER_024,대미지 : {0}  (초당 틱),RootDesk/MyDesk/Card/CardManager.mlua:18566,,,
FMT_CARDMANAGER_025,대미지 : {0}  (초당),RootDesk/MyDesk/Card/CardManager.mlua:18573,,,
FMT_CARDMANAGER_026,쿨타임 : {0}s,RootDesk/MyDesk/Card/CardManager.mlua:18598,,,
FMT_CARDMANAGER_027,타겟 : {0}명,RootDesk/MyDesk/Card/CardManager.mlua:18613,,,
FMT_CARDMANAGER_028,타겟 : {0}명  |  슬로우 3s,RootDesk/MyDesk/Card/CardManager.mlua:18615,,,
FMT_CARDMANAGER_029,타겟 {0}명  |  스턴 {1}% {2}초(보스/엘리트 {3}초),RootDesk/MyDesk/Card/CardManager.mlua:18621,,,
FMT_CARDMANAGER_030,타겟 {0}명,RootDesk/MyDesk/Card/CardManager.mlua:18623,,,
FMT_CARDMANAGER_031,{0}치명타 20%,RootDesk/MyDesk/Card/CardManager.mlua:18632,,,
FMT_CARDMANAGER_032,{0}광역,RootDesk/MyDesk/Card/CardManager.mlua:18636,,,
FMT_CARDMANAGER_033,타겟 {0}명  |  범위 광역,RootDesk/MyDesk/Card/CardManager.mlua:18650,,,
FMT_CARDMANAGER_034,{0}  |  출혈 {1}%/틱 (3초),RootDesk/MyDesk/Card/CardManager.mlua:18651,,,
FMT_CARDMANAGER_035,{0}  |  25% 확률 2연타(2타 50%),RootDesk/MyDesk/Card/CardManager.mlua:18654,,,
FMT_CARDMANAGER_036,광역  |  {0}타,RootDesk/MyDesk/Card/CardManager.mlua:18658,,,
FMT_CARDMANAGER_037,{0}  |  넉백,RootDesk/MyDesk/Card/CardManager.mlua:18659,,,
FMT_CARDMANAGER_038,타겟 {0}명  |  속박 {1}초,RootDesk/MyDesk/Card/CardManager.mlua:18663,,,
FMT_CARDMANAGER_039,타겟 {0}명  |  빙결 스택+1,RootDesk/MyDesk/Card/CardManager.mlua:18665,,,
FMT_CARDMANAGER_040,타겟 {0}명  |  3연타  |  스턴 {1}% {2}초,RootDesk/MyDesk/Card/CardManager.mlua:18669,,,
FMT_CARDMANAGER_041,"타겟 {0}명  |  슬로우, 빙결 스택2",RootDesk/MyDesk/Card/CardManager.mlua:18671,,,
FMT_CARDMANAGER_042,연쇄 {0}명  |  치명타+20%  |  마지막 착탄 +{1}%,RootDesk/MyDesk/Card/CardManager.mlua:18674,,,
FMT_CARDMANAGER_043,고정 광역  |  {0}% 확률 2연타(2타 50%),RootDesk/MyDesk/Card/CardManager.mlua:18680,,,
FMT_CARDMANAGER_044,타겟 {0}명  |  빙결 스택+1  |  추가타 대미지 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18683,,,
FMT_CARDMANAGER_045,타겟 {0}명  |  속박 3초  |  추가타 대미지 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18686,,,
FMT_CARDMANAGER_046,화살 {0}발,RootDesk/MyDesk/Card/CardManager.mlua:18691,,,
FMT_CARDMANAGER_047,{0}  |  강화 화살 {1}% ({2}% 대미지),RootDesk/MyDesk/Card/CardManager.mlua:18693,,,
FMT_CARDMANAGER_048,착탄 {0}개  |  광역  |  슬로우 {1}% {2}초,RootDesk/MyDesk/Card/CardManager.mlua:18697,,,
FMT_CARDMANAGER_049,착탄 {0}개  |  광역  |  슬로우 대상 +{1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18703,,,
FMT_CARDMANAGER_050,유지 {0}초  |  광역  |  슬로우 대상 +{1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18707,,,
FMT_CARDMANAGER_051,화살 {0}발  |  관통 {1}회,RootDesk/MyDesk/Card/CardManager.mlua:18709,,,
FMT_CARDMANAGER_052,착탄 {0}개  |  광역,RootDesk/MyDesk/Card/CardManager.mlua:18711,,,
FMT_CARDMANAGER_053,화살 {0}발  |  관통 {1}회  |  크리티컬 +{2}%,RootDesk/MyDesk/Card/CardManager.mlua:18715,,,
