Key,Source,Note,ko,en,zh-tw,ja
MLUA_ACHIEVEMENTLOGIC_001,초보 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:47,초보 사냥꾼,Novice Hunter,新手獵人,初心者ハンター
MLUA_ACHIEVEMENTLOGIC_002,"몬스터 1,000마리 처치",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:47,"몬스터 1,000마리 처치","Defeat 1,000 monsters","擊敗1,000隻怪物","モンスターを1,000体討伐"
MLUA_ACHIEVEMENTLOGIC_003,숙련된 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:48,숙련된 사냥꾼,Skilled Hunter,熟練獵人,熟練ハンター
MLUA_ACHIEVEMENTLOGIC_004,몬스터 1만 마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:48,몬스터 1만 마리 처치,Defeat 10K monsters,擊敗1萬隻怪物,モンスターを1万体討伐
MLUA_ACHIEVEMENTLOGIC_005,전설의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:49,전설의 사냥꾼,Legendary Hunter,傳說獵人,伝説のハンター
MLUA_ACHIEVEMENTLOGIC_006,몬스터 10만 마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:49,몬스터 10만 마리 처치,Defeat 100K monsters,擊敗10萬隻怪物,モンスターを10万体討伐
MLUA_ACHIEVEMENTLOGIC_007,엘리트 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:50,엘리트 사냥꾼,Elite Hunter,菁英獵人,エリートハンター
MLUA_ACHIEVEMENTLOGIC_008,엘리트 몬스터 10마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:50,엘리트 몬스터 10마리 처치,Defeat 10 Elite monsters,擊敗10隻菁英怪物,エリートモンスターを10体討伐
MLUA_ACHIEVEMENTLOGIC_009,엘리트 학살자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:51,엘리트 학살자,Elite Slaughterer,菁英屠戮者,エリートスレイヤー
MLUA_ACHIEVEMENTLOGIC_010,엘리트 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:51,엘리트 몬스터 100마리 처치,Defeat 100 Elite monsters,擊敗100隻菁英怪物,エリートモンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_011,첫 보스 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:52,첫 보스 처치,First Boss Kill,首次擊敗首領,初めてのボス討伐
MLUA_ACHIEVEMENTLOGIC_012,보스 몬스터 1회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:52,보스 몬스터 1회 처치,Defeat a Boss monster once,擊敗首領怪物1次,ボスモンスターを1回討伐
MLUA_ACHIEVEMENTLOGIC_013,보스 헌터,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:53,보스 헌터,Boss Hunter,首領獵人,ボスハンター
MLUA_ACHIEVEMENTLOGIC_014,보스 몬스터 10회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:53,보스 몬스터 10회 처치,Defeat Boss monsters 10 times,擊敗首領怪物10次,ボスモンスターを10回討伐
MLUA_ACHIEVEMENTLOGIC_015,보스 슬레이어,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:54,보스 슬레이어,Boss Slayer,首領殺手,ボススレイヤー
MLUA_ACHIEVEMENTLOGIC_016,보스 몬스터 50회 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:54,보스 몬스터 50회 처치,Defeat Boss monsters 50 times,擊敗首領怪物50次,ボスモンスターを50回討伐
MLUA_ACHIEVEMENTLOGIC_017,하늘의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:55,하늘의 사냥꾼,Sky Hunter,天空獵人,空のハンター
MLUA_ACHIEVEMENTLOGIC_018,비행 몬스터 300마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:55,비행 몬스터 300마리 처치,Defeat 300 flying monsters,擊敗300隻飛行怪物,飛行モンスターを300体討伐
MLUA_ACHIEVEMENTLOGIC_019,달팽이 박사,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:57,달팽이 박사,Snail Expert,蝸牛博士,カタツムリ博士
MLUA_ACHIEVEMENTLOGIC_020,달팽이류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:57,달팽이류 몬스터 100마리 처치,Defeat 100 snail-type monsters,擊敗100隻蝸牛類怪物,カタツムリ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_021,버섯 채집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:58,버섯 채집가,Mushroom Picker,蘑菇採集者,キノコ採集家
MLUA_ACHIEVEMENTLOGIC_022,버섯류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:58,버섯류 몬스터 100마리 처치,Defeat 100 mushroom-type monsters,擊敗100隻蘑菇類怪物,キノコ系モンスターを100体討伐
